timeStemp,Label,Dist_mm_1,Dist_mm_2,Dist_mm_3,Dist_mm_4,RSSI_1,RSSI_2,RSSI_3,RSSI_4,Std_mm_1,Std_mm_2,Std_mm_3,Std_mm_4
665587690,1-1,4077.0,8891.0,-303.0,10713.0,-61.0,-71.0,-47.0,-64.0,1079.0,1413.0,1525.0,1042.0
665588343,1-1,4038.0,9331.0,-342.0,10439.0,-61.0,-71.0,-48.0,-64.0,1050.0,1539.0,1517.0,1101.0
665585885,1-1,4077.0,8657.0,,10257.0,-61.0,-71.0,,-63.0,1125.0,1677.0,,1379.0
665587347,1-1,4155.0,7046.0,-332.0,10518.0,-61.0,-71.0,-43.0,-64.0,1013.0,2155.0,1510.0,1134.0
665584685,1-1,4116.0,7749.0,-264.0,10635.0,-61.0,-71.0,-47.0,-64.0,1103.0,1975.0,1506.0,1116.0
665586736,1-1,4116.0,7251.0,-303.0,10439.0,-61.0,-71.0,-47.0,-64.0,1119.0,1957.0,1513.0,1279.0
665586275,1-1,4028.0,7778.0,-342.0,10518.0,-61.0,-71.0,-47.0,-64.0,1166.0,1864.0,1528.0,1135.0
665588872,1-1,4038.0,7807.0,-420.0,10635.0,-61.0,-71.0,-45.0,-63.0,1087.0,2006.0,1495.0,1028.0
665587866,1-1,4116.0,9243.0,-381.0,10518.0,-60.0,-71.0,-48.0,-64.0,1020.0,1546.0,1561.0,1058.0
665585812,1-1,4077.0,9184.0,-381.0,10557.0,-61.0,-71.0,-48.0,-63.0,1035.0,1216.0,1474.0,1093.0
665584828,1-1,4077.0,9272.0,-342.0,10479.0,-61.0,-71.0,-47.0,-64.0,1093.0,1164.0,1531.0,1177.0
665589658,1-1,4077.0,6967.0,-421.0,10498.0,-60.0,-70.0,-45.0,-64.0,1109.0,1266.0,1274.0,1217.0
665583412,1-1,3999.0,6928.0,-421.0,10518.0,-60.0,-70.0,-47.0,-64.0,1061.0,2110.0,1452.0,1031.0
665583985,1-1,4038.0,6811.0,-381.0,10674.0,-61.0,-72.0,-47.0,-64.0,1100.0,2330.0,1417.0,890.0
665585534,1-1,3960.0,8247.0,-225.0,10518.0,-61.0,-71.0,-48.0,-64.0,1167.0,1632.0,1485.0,999.0
665589021,1-1,4116.0,7046.0,-342.0,10557.0,-60.0,-71.0,-42.0,-62.0,1005.0,2284.0,1412.0,994.0
665588785,1-1,4038.0,7280.0,-342.0,10635.0,-61.0,-71.0,-47.0,-63.0,1045.0,1680.0,1371.0,1059.0
665587333,1-1,3960.0,7016.0,-333.0,10400.0,-61.0,-71.0,-46.0,-64.0,1110.0,2067.0,1506.0,1171.0
665583575,1-1,4038.0,7719.0,-421.0,10479.0,-61.0,-71.0,-47.0,-64.0,1076.0,1979.0,1628.0,1161.0
665589375,1-1,4116.0,6811.0,-303.0,9983.0,-61.0,-71.0,-47.0,-62.0,1032.0,2400.0,1497.0,1384.0
665585114,1-1,4116.0,9184.0,-342.0,10479.0,-61.0,-71.0,-48.0,-64.0,1064.0,1375.0,1514.0,1226.0
665587881,1-1,4116.0,9067.0,-303.0,10557.0,-61.0,-71.0,-43.0,-65.0,1018.0,1265.0,1404.0,1016.0
665583356,1-1,3999.0,6372.0,-342.0,10205.0,-60.0,-70.0,-46.0,-66.0,1064.0,1944.0,1517.0,2326.0
665583603,1-1,4038.0,8833.0,-645.0,10674.0,-60.0,-71.0,-43.0,-64.0,1077.0,1586.0,1739.0,938.0
665586837,1-1,4038.0,6811.0,-333.0,10400.0,-61.0,-71.0,-47.0,-64.0,1117.0,2322.0,1448.0,1182.0
665584198,1-1,3838.0,7690.0,-381.0,10635.0,-55.0,-71.0,-47.0,-63.0,2050.0,1865.0,1419.0,970.0
665586527,1-1,4077.0,6958.0,-362.0,10439.0,-61.0,-71.0,-47.0,-64.0,1137.0,2231.0,1500.0,1189.0
665585343,1-1,4116.0,8276.0,-303.0,10557.0,-61.0,-71.0,-47.0,-62.0,1122.0,1644.0,1538.0,1089.0
665584241,1-1,4038.0,8305.0,-342.0,10479.0,-60.0,-71.0,-45.0,-64.0,1158.0,1708.0,1258.0,993.0
665584914,1-1,4077.0,7016.0,-501.0,10674.0,-60.0,-72.0,-43.0,-64.0,1035.0,2091.0,1614.0,1081.0
665587763,1-1,4038.0,9184.0,-342.0,10596.0,-61.0,-71.0,-45.0,-65.0,1061.0,1580.0,1455.0,1127.0
665586421,1-1,3999.0,6928.0,-342.0,10518.0,-61.0,-71.0,-47.0,-64.0,1076.0,1584.0,1513.0,1030.0
665583760,1-1,4116.0,6928.0,-421.0,9983.0,-61.0,-71.0,-47.0,-62.0,1135.0,2132.0,1583.0,1466.0
