Label,Pos_X,Pos_Y,Diff_RSSI,Diff_RTT
5-11,-6.00,2.40,3.72,-151.15
6-1,0.00,3.00,4.18,-14.46
6-10,-5.40,3.00,0.83,-1155.12
6-11,-6.00,3.00,-2.88,491.76
6-2,-0.60,3.00,-6.42,2432.25
6-3,-1.20,3.00,3.07,444.39
6-4,-1.80,3.00,4.49,-104.25
6-5,-2.40,3.00,-3.98,202.39
6-6,-3.00,3.00,-4.28,-606.36
6-7,-3.60,3.00,-1.21,-246.63
6-8,-4.20,3.00,5.07,-577.07
6-9,-4.80,3.00,-1.22,-2288.87
7-1,0.00,3.60,3.06,589.18
7-11,-6.00,3.60,2.43,-803.41
8-1,0.00,4.20,-1.83,-737.60
8-11,-6.00,4.20,1.97,327.66
9-1,0.00,4.80,-2.86,-824.74
9-11,-6.00,4.80,-5.42,1354.70
1-1,0.00,0.00,0.42,-36.46
1-10,-5.40,0.00,2.12,296.48
1-11,-6.00,0.00,-0.46,-130.83
1-2,-0.60,0.00,7.66,113.44
1-3,-1.20,0.00,1.32,38.20
1-4,-1.80,0.00,-0.66,43.07
1-5,-2.40,0.00,1.74,280.82
1-6,-3.00,0.00,5.09,476.19
1-7,-3.60,0.00,-1.50,-1212.25
1-8,-4.20,0.00,-1.34,512.34
1-9,-4.80,0.00,2.59,509.09
10-1,0.00,5.40,0.62,1412.84
10-11,-6.00,5.40,7.26,108.68
11-1,0.00,6.00,3.55,-180.08
11-10,-5.40,6.00,0.80,-1276.17
11-11,-6.00,6.00,-2.20,-252.67
11-2,-0.60,6.00,-2.10,84.30
11-3,-1.20,6.00,3.29,2457.92
11-4,-1.80,6.00,3.50,2807.84
11-5,-2.40,6.00,-1.26,-2467.02
11-6,-3.00,6.00,0.47,2392.06
11-7,-3.60,6.00,-1.77,331.65
11-8,-4.20,6.00,0.05,3042.12
11-9,-4.80,6.00,3.74,526.54
2-1,0.00,0.60,1.45,512.33
2-11,-6.00,0.60,0.61,-254.60
3-1,0.00,1.20,-1.42,-411.18
3-11,-6.00,1.20,1.81,-1546.34
4-1,0.00,1.80,-6.41,-1762.86
4-11,-6.00,1.80,-0.16,-5.44
5-1,0.00,2.40,-1.67,289.02
5-11,-6.00,2.40,2.68,-968.33
6-1,0.00,3.00,2.73,1138.62
6-10,-5.40,3.00,-0.22,-27.06
6-11,-6.00,3.00,-1.46,-727.95
6-2,-0.60,3.00,2.00,491.33
6-3,-1.20,3.00,-4.21,347.70
6-4,-1.80,3.00,2.11,-1810.18
6-5,-2.40,3.00,-1.05,43.09
6-6,-3.00,3.00,0.75,39.87
6-7,-3.60,3.00,-3.11,-85.96
6-8,-4.20,3.00,-1.68,30.60
6-9,-4.80,3.00,2.70,892.27
7-1,0.00,3.60,-1.86,-48.58
7-11,-6.00,3.60,-5.34,-237.60
8-1,0.00,4.20,-3.20,189.12
8-11,-6.00,4.20,-1.11,459.75
9-1,0.00,4.80,-1.99,783.78
9-11,-6.00,4.80,-1.26,0.45
1-1,0.00,0.00,-4.40,1109.91
1-10,-5.40,0.00,-1.72,3384.95
1-11,-6.00,0.00,-1.43,445.73
1-2,-0.60,0.00,0.94,697.44
1-3,-1.20,0.00,3.24,-494.05
1-4,-1.80,0.00,0.96,-1516.70
1-5,-2.40,0.00,-7.67,-2066.32
1-6,-3.00,0.00,-3.86,-692.22
1-7,-3.60,0.00,-3.44,106.06
1-8,-4.20,0.00,3.67,-96.72
1-9,-4.80,0.00,-1.16,-983.21
10-1,0.00,5.40,-0.23,-197.11
10-11,-6.00,5.40,7.42,1810.74
11-1,0.00,6.00,3.23,686.98
11-10,-5.40,6.00,2.49,-391.11
11-11,-6.00,6.00,3.44,1382.59
11-2,-0.60,6.00,-6.21,910.92
11-3,-1.20,6.00,5.48,609.36
11-4,-1.80,6.00,4.01,232.31
11-5,-2.40,6.00,-8.59,-2782.65
11-6,-3.00,6.00,1.62,522.12
11-7,-3.60,6.00,2.30,2772.73
11-8,-4.20,6.00,1.90,-2346.17
11-9,-4.80,6.00,0.35,-952.66
2-1,0.00,0.60,3.24,142.16
2-11,-6.00,0.60,0.12,-193.96
3-1,0.00,1.20,1.00,269.27
3-11,-6.00,1.20,6.25,651.93
4-1,0.00,1.80,9.20,1774.73
4-11,-6.00,1.80,2.18,380.52
5-1,0.00,2.40,6.09,461.80
5-11,-6.00,2.40,-5.38,421.29
6-1,0.00,3.00,-6.46,543.75
6-10,-5.40,3.00,0.67,-354.23
6-11,-6.00,3.00,-0.49,-74.16
6-2,-0.60,3.00,-6.03,-626.53
6-3,-1.20,3.00,0.55,-2184.98
6-4,-1.80,3.00,-7.63,-195.25
6-5,-2.40,3.00,-0.64,-133.37
6-6,-3.00,3.00,2.91,777.80
6-7,-3.60,3.00,4.13,-2443.36
6-8,-4.20,3.00,0.38,111.90
6-9,-4.80,3.00,-3.38,168.20
7-1,0.00,3.60,-4.57,-1884.48
7-11,-6.00,3.60,3.92,-721.25
8-1,0.00,4.20,5.25,-1841.81
8-11,-6.00,4.20,3.95,-2.06
9-1,0.00,4.80,8.71,248.23
9-11,-6.00,4.80,2.70,-1239.62
