Label,Pos_X,Pos_Y,Diff_RSSI,Diff_RTT
1-4,-1.80,0.00,-1.36,390.47
1-5,-2.40,0.00,-1.16,944.88
1-6,-3.00,0.00,-0.39,536.52
1-7,-3.60,0.00,-6.89,981.65
1-8,-4.20,0.00,0.25,1042.23
1-9,-4.80,0.00,-2.55,856.47
10-1,0.00,5.40,-3.69,273.13
10-11,-6.00,5.40,2.31,2368.64
11-1,0.00,6.00,4.59,-897.66
11-10,-5.40,6.00,6.09,-631.88
11-11,-6.00,6.00,2.74,-1117.40
11-2,-0.60,6.00,3.35,166.28
11-3,-1.20,6.00,5.44,819.53
11-4,-1.80,6.00,1.51,497.86
11-5,-2.40,6.00,-6.68,-2554.49
11-6,-3.00,6.00,9.84,717.44
11-7,-3.60,6.00,-5.28,-762.13
11-8,-4.20,6.00,0.57,-2566.74
11-9,-4.80,6.00,5.69,-1312.48
2-1,0.00,0.60,5.22,837.87
2-11,-6.00,0.60,-2.10,-96.85
3-1,0.00,1.20,1.47,479.08
3-11,-6.00,1.20,2.83,133.95
4-1,0.00,1.80,-3.02,1765.85
4-11,-6.00,1.80,1.74,-522.12
5-1,0.00,2.40,5.65,396.89
5-11,-6.00,2.40,5.40,-161.57
6-1,0.00,3.00,-4.77,2097.03
6-10,-5.40,3.00,0.39,-476.77
6-11,-6.00,3.00,-0.46,233.80
6-2,-0.60,3.00,-7.57,-2062.87
6-3,-1.20,3.00,2.76,-1830.52
6-4,-1.80,3.00,-2.92,-1204.53
6-5,-2.40,3.00,0.93,-270.14
6-6,-3.00,3.00,4.14,2921.00
6-7,-3.60,3.00,7.01,-3603.33
6-8,-4.20,3.00,-2.83,-682.71
6-9,-4.80,3.00,-5.16,2352.62
7-1,0.00,3.60,1.47,948.09
7-11,-6.00,3.60,0.69,-818.59
8-1,0.00,4.20,3.62,-1665.29
8-11,-6.00,4.20,5.72,22.10
9-1,0.00,4.80,10.25,331.07
9-11,-6.00,4.80,1.69,450.54
