Combo,Avg_Src_Acc,Avg_Src_Acc_STD,Avg_Src_MDE,Avg_Src_MDE_STD,Avg_Tgt_Acc,Avg_Tgt_Acc_STD,Avg_Tgt_MDE,Avg_Tgt_MDE_STD,Seeds_Detail
GeoSPA_2_4,97.1088,0.7659,0.0385,0.0087,32.1088,1.9610,0.8240,0.0861,"[42, 67, 1024]"
GeoSPA_3_4,95.4422,1.3854,0.0815,0.0174,30.6463,3.3384,0.9006,0.0376,"[42, 67, 1024]"
GeoSPA_1_2_3,98.0952,0.0589,0.0274,0.0051,42.8912,0.1559,0.5330,0.0439,"[42, 67, 1024]"
GeoSPA_1_2_4,98.2653,0.2700,0.0229,0.0041,49.4558,2.0620,0.4754,0.0285,"[42, 67, 1024]"
GeoSPA_1_3_4,97.9592,0.7704,0.0361,0.0182,46.3265,4.1874,0.6888,0.0567,"[42, 67, 1024]"
GeoSPA_2_3_4,97.6871,0.4248,0.0316,0.0063,36.4966,0.6946,0.6658,0.0629,"[42, 67, 1024]"
GeoSPA_1_2_3_4,98.5714,0.5399,0.0181,0.0066,49.0816,2.8626,0.4810,0.0700,"[42, 67, 1024]"

// GeoSPA-Net v3 500 epochGeoSPA_1,90.8503,7.2228,0.1677,0.1233,33.5374,3.7302,1.0181,0.0775,"[42, 67, 1024]"
GeoSPA_2,75.3741,17.9854,0.3823,0.2394,23.2653,3.9770,1.3538,0.3438,"[42, 67, 1024]"
GeoSPA_3,67.8912,28.8265,0.6030,0.6252,25.7483,7.1671,1.1737,0.2259,"[42, 67, 1024]"
GeoSPA_4,76.7007,28.6915,0.4905,0.6503,19.0476,14.0658,2.2540,1.8154,"[42, 67, 1024]"
GeoSPA_1_2,97.7211,0.3584,0.0325,0.0057,41.9388,2.6746,0.7253,0.1248,"[42, 67, 1024]"
GeoSPA_1_3,94.5578,1.4334,0.0817,0.0203,37.3469,7.6680,0.9103,0.1596,"[42, 67, 1024]"
GeoSPA_1_4,95.1701,3.2976,0.0792,0.0555,40.6122,7.9067,0.8058,0.2105,"[42, 67, 1024]"
GeoSPA_2_3,96.7007,1.0718,0.0468,0.0113,32.0408,2.5754,0.8291,0.0984,"[42, 67, 1024]"
GeoSPA_2_4,92.8912,5.6909,0.0900,0.0765,29.0136,3.7218,1.0274,0.3139,"[42, 67, 1024]"
GeoSPA_3_4,92.4830,2.4068,0.1244,0.0356,30.7483,0.4822,1.0312,0.0753,"[42, 67, 1024]"
GeoSPA_1_2_3,94.8639,4.0616,0.0605,0.0369,44.4558,4.3308,0.5768,0.0883,"[42, 67, 1024]"
GeoSPA_1_2_4,98.6054,0.2124,0.0202,0.0058,42.1088,0.6794,0.6081,0.0283,"[42, 67, 1024]"
GeoSPA_1_3_4,97.8912,0.4248,0.0398,0.0025,47.3129,3.7870,0.6335,0.1079,"[42, 67, 1024]"
GeoSPA_2_3_4,97.5170,0.3584,0.0356,0.0055,34.0476,2.1822,0.7011,0.0725,"[42, 67, 1024]"
GeoSPA_1_2_3_4,98.6054,0.4822,0.0206,0.0083,42.7891,4.2373,0.6020,0.0624,"[42, 67, 1024]"

// GeoSPA-Net v7
GeoSPA_1,76.5646,8.6538,0.4338,0.1869,23.7415,3.9866,1.1029,0.1289,"[42, 67, 1024]"
GeoSPA_2,84.3878,11.2231,0.2485,0.1632,23.6395,3.1124,1.1787,0.0625,"[42, 67, 1024]"
GeoSPA_3,75.6122,9.0472,0.4232,0.1808,19.5578,3.3180,1.1809,0.1111,"[42, 67, 1024]"
GeoSPA_4,72.1769,7.9672,0.6144,0.1316,28.0952,3.5792,1.0872,0.0681,"[42, 67, 1024]"
GeoSPA_1_2,94.3197,5.8639,0.0826,0.0785,32.3129,4.2958,0.8233,0.1095,"[42, 67, 1024]"
GeoSPA_1_3,93.0272,1.3854,0.1048,0.0131,35.4082,6.1454,0.7737,0.0310,"[42, 67, 1024]"
GeoSPA_1_4,96.0204,2.1429,0.0551,0.0360,44.2177,3.6197,0.7383,0.0542,"[42, 67, 1024]"
GeoSPA_2_3,96.1905,1.0473,0.0506,0.0146,28.6395,2.5353,0.8164,0.0736,"[42, 67, 1024]"
GeoSPA_2_4,96.4966,0.5802,0.0535,0.0152,32.2789,2.6340,0.8029,0.1430,"[42, 67, 1024]"
GeoSPA_3_4,88.2313,2.0720,0.2453,0.0501,33.1293,3.7246,0.9132,0.1267,"[42, 67, 1024]"
GeoSPA_1_2_3,98.0952,0.5802,0.0278,0.0087,36.7347,3.0967,0.6043,0.1219,"[42, 67, 1024]"
GeoSPA_1_2_4,98.2653,0.7970,0.0272,0.0119,41.6327,6.8936,0.6256,0.0337,"[42, 67, 1024]"
GeoSPA_1_3_4,97.1769,0.9698,0.0517,0.0208,47.3469,2.2145,0.6627,0.0258,"[42, 67, 1024]"
GeoSPA_2_3_4,98.2653,0.3535,0.0228,0.0027,32.6871,1.0621,0.6725,0.0721,"[42, 67, 1024]"
GeoSPA_1_2_3_4,98.5714,0.5399,0.0181,0.0066,49.0816,2.8626,0.4810,0.0700,"[42, 67, 1024]"

// GeoSPA-Net v7 test
GeoSPA_1,95.6463,0.5136,0.0796,0.0220,36.6667,0.4124,0.9768,0.1451,"[42, 67, 1024]"
GeoSPA_2,95.5442,1.2677,0.0622,0.0124,27.4150,2.4348,1.0004,0.0704,"[42, 67, 1024]"
GeoSPA_3,94.4218,0.5136,0.0987,0.0089,29.6259,1.1286,0.8794,0.1017,"[42, 67, 1024]"
GeoSPA_4,95.5782,0.4124,0.0714,0.0150,29.3197,0.6794,1.0791,0.0338,"[42, 67, 1024]"
GeoSPA_1_2,97.5170,0.1178,0.0369,0.0023,37.1088,3.7413,0.7398,0.0618,"[42, 67, 1024]"
GeoSPA_1_3,97.2109,0.4124,0.0458,0.0005,41.9728,2.8026,0.7353,0.1058,"[42, 67, 1024]"
GeoSPA_1_4,97.9592,0.7358,0.0350,0.0135,40.2381,3.5235,0.8279,0.1093,"[42, 67, 1024]"
GeoSPA_2_3,97.5510,0.1020,0.0354,0.0073,30.0000,2.8057,0.7969,0.0254,"[42, 67, 1024]"
GeoSPA_2_4,97.6871,0.5979,0.0332,0.0131,33.8095,1.1827,0.8133,0.0782,"[42, 67, 1024]"
GeoSPA_3_4,97.0068,0.3863,0.0577,0.0086,33.8095,3.3290,0.8295,0.0232,"[42, 67, 1024]"
GeoSPA_1_2_3,98.0612,0.4082,0.0265,0.0020,39.0136,5.9930,0.6108,0.0683,"[42, 67, 1024]"
GeoSPA_1_2_4,98.8095,0.3863,0.0204,0.0094,45.2041,6.2245,0.5685,0.0783,"[42, 67, 1024]"
GeoSPA_1_3_4,98.1973,0.5236,0.0287,0.0068,48.0612,1.4176,0.6218,0.0603,"[42, 67, 1024]"
GeoSPA_2_3_4,98.3333,0.3863,0.0272,0.0083,34.4558,5.1552,0.6698,0.0475,"[42, 67, 1024]"
GeoSPA_1_2_3_4,98.5714,0.5399,0.0181,0.0066,49.0816,2.8626,0.4810,0.0700,"[42, 67, 1024]"
