Timestamp,Label,Duration_ms,SSID_1,BSSID_1,RSSI_1,Dist_mm_1,Std_mm_1,Succ_1,Att_1,Rate_1,SSID_2,BSSID_2,RSSI_2,Dist_mm_2,Std_mm_2,Succ_2,Att_2,Rate_2,SSID_3,BSSID_3,RSSI_3,Dist_mm_3,Std_mm_3,Succ_3,Att_3,Rate_3,SSID_4,BSSID_4,RSSI_4,Dist_mm_4,Std_mm_4,Succ_4,Att_4,Rate_4,Diff_RSSI_1_2,Diff_RSSI_1_3,Diff_RSSI_1_4,Diff_RSSI_2_3,Diff_RSSI_2_4,Diff_RSSI_3_4
1767276233791,1-1,132,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3296.0,1015.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6577.0,1560.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52.0,-1246.0,703.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9497.0,302.0,7.0,8.0,87.5,3.0,-9.0,7.0,-12.0,4.0,16.0
1767276233989,1-1,123,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3257.0,1025.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6616.0,1537.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-45.0,-1011.0,824.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9419.0,286.0,7.0,8.0,87.5,3.0,-16.0,7.0,-19.0,4.0,23.0
1767276234174,1-1,99,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3335.0,1060.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6616.0,1415.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52.0,-1168.0,677.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9536.0,286.0,7.0,8.0,87.5,3.0,-9.0,7.0,-12.0,4.0,16.0
1767276234403,1-1,120,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3217.0,1013.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6577.0,1466.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51.0,-1011.0,572.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9458.0,312.0,7.0,8.0,87.5,3.0,-10.0,7.0,-13.0,4.0,17.0
1767276234612,1-1,119,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3296.0,918.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6616.0,1495.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51.0,-855.0,496.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9497.0,287.0,7.0,8.0,87.5,3.0,-10.0,7.0,-13.0,4.0,17.0
1767276234812,1-1,111,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3335.0,926.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6694.0,1538.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52.0,-191.0,602.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9380.0,338.0,7.0,8.0,87.5,3.0,-9.0,7.0,-12.0,4.0,16.0
1767276235027,1-1,118,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3217.0,1015.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6655.0,1536.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52.0,179.0,493.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9458.0,253.0,7.0,8.0,87.5,3.0,-9.0,7.0,-12.0,4.0,16.0
1767276235252,1-1,135,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3335.0,924.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6655.0,1508.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51.0,-621.0,348.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9536.0,274.0,7.0,8.0,87.5,3.0,-10.0,7.0,-13.0,4.0,17.0
1767276235446,1-1,120,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3217.0,1001.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6577.0,1576.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,179.0,481.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9380.0,338.0,7.0,8.0,87.5,3.0,-11.0,7.0,-14.0,4.0,18.0
1767276235653,1-1,120,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3335.0,895.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6616.0,1537.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,150.0,446.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9419.0,360.0,7.0,8.0,87.5,3.0,-11.0,7.0,-14.0,4.0,18.0
1767276235833,1-1,92,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3296.0,958.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6538.0,1519.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51.0,3.0,507.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9341.0,292.0,7.0,8.0,87.5,3.0,-10.0,7.0,-13.0,4.0,17.0
1767276236075,1-1,129,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3217.0,953.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6538.0,1579.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52.0,-738.0,497.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9497.0,265.0,7.0,8.0,87.5,3.0,-9.0,7.0,-12.0,4.0,16.0
1767276236263,1-1,99,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3374.0,914.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6616.0,1555.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51.0,-543.0,363.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9458.0,285.0,7.0,8.0,87.5,3.0,-10.0,7.0,-13.0,4.0,17.0
1767276236513,1-1,140,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3296.0,978.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6616.0,1485.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51.0,-816.0,472.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9536.0,288.0,7.0,8.0,87.5,3.0,-10.0,7.0,-13.0,4.0,17.0
1767276236709,1-1,127,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3178.0,1030.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6538.0,1603.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51.0,-972.0,519.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-69.0,9575.0,262.0,7.0,8.0,87.5,3.0,-10.0,8.0,-13.0,5.0,18.0
1767276236903,1-1,112,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3296.0,990.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6694.0,1557.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-51.0,-777.0,428.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-69.0,9458.0,354.0,7.0,8.0,87.5,3.0,-10.0,8.0,-13.0,5.0,18.0
1767276237134,1-1,136,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3335.0,897.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6499.0,1549.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50.0,3.0,610.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9419.0,343.0,7.0,8.0,87.5,3.0,-11.0,7.0,-14.0,4.0,18.0
1767276237334,1-1,116,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3178.0,990.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6538.0,1532.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52.0,120.0,595.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-65.0,9258.0,1045.0,7.0,8.0,87.5,3.0,-9.0,4.0,-12.0,1.0,13.0
1767276237548,1-1,122,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3296.0,918.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6538.0,1576.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52.0,179.0,515.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9536.0,256.0,7.0,8.0,87.5,3.0,-9.0,7.0,-12.0,4.0,16.0
1767276237756,1-1,123,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3296.0,943.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6655.0,1573.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52.0,179.0,470.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9458.0,306.0,7.0,8.0,87.5,3.0,-9.0,7.0,-12.0,4.0,16.0
1767276237962,1-1,121,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3217.0,1093.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6616.0,1593.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-46.0,392.0,621.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9341.0,378.0,7.0,8.0,87.5,3.0,-15.0,7.0,-18.0,4.0,22.0
1767276238172,1-1,122,MCSLab RTT AP1,24:29:34:e2:4c:36,-61.0,3296.0,952.0,7.0,8.0,87.5,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64.0,6577.0,1585.0,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52.0,150.0,490.0,7.0,8.0,87.5,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68.0,9419.0,336.0,7.0,8.0,87.5,3.0,-9.0,7.0,-12.0,4.0,16.0
