Label,Pos_X,Pos_Y,Diff_RSSI,Diff_RTT
9-1,0.00,4.80,-0.41,346.44
9-11,-6.00,4.80,1.12,-2455.18
1-1,0.00,0.00,0.46,-464.56
1-10,-5.40,0.00,-5.55,1519.13
1-11,-6.00,0.00,-2.79,-658.06
1-2,-0.60,0.00,-7.61,-682.83
1-3,-1.20,0.00,2.03,213.37
1-4,-1.80,0.00,-2.59,379.26
1-5,-2.40,0.00,-4.38,-5805.69
1-6,-3.00,0.00,-1.91,1914.81
1-7,-3.60,0.00,2.73,256.98
1-8,-4.20,0.00,6.41,-494.73
1-9,-4.80,0.00,2.00,633.59
10-1,0.00,5.40,-1.73,290.06
10-11,-6.00,5.40,3.53,1363.62
11-1,0.00,6.00,-1.50,-146.11
11-10,-5.40,6.00,2.23,-943.20
11-11,-6.00,6.00,-4.71,-2807.45
11-2,-0.60,6.00,-1.88,626.81
11-3,-1.20,6.00,4.78,-1536.25
11-4,-1.80,6.00,-2.27,-294.55
11-5,-2.40,6.00,1.08,-270.44
11-6,-3.00,6.00,-3.66,-629.64
11-7,-3.60,6.00,0.43,-0.15
11-8,-4.20,6.00,0.78,161.35
11-9,-4.80,6.00,7.36,-323.46
2-1,0.00,0.60,-2.00,282.97
2-11,-6.00,0.60,6.86,341.42
3-1,0.00,1.20,-2.82,588.32
3-11,-6.00,1.20,-1.71,-284.35
4-1,0.00,1.80,2.28,975.45
4-11,-6.00,1.80,-0.53,29.31
5-1,0.00,2.40,4.51,458.37
5-11,-6.00,2.40,-0.75,-298.15
6-1,0.00,3.00,4.25,277.78
6-10,-5.40,3.00,3.54,762.59
6-11,-6.00,3.00,-0.63,1139.08
6-2,-0.60,3.00,0.45,944.78
6-3,-1.20,3.00,0.38,1026.62
6-4,-1.80,3.00,0.73,225.02
6-5,-2.40,3.00,-2.47,201.73
6-6,-3.00,3.00,-0.38,86.95
6-7,-3.60,3.00,-1.53,-2289.61
6-8,-4.20,3.00,-3.27,2229.17
6-9,-4.80,3.00,0.16,-1992.18
7-1,0.00,3.60,0.33,-98.01
7-11,-6.00,3.60,0.69,-485.61
8-1,0.00,4.20,-7.73,501.68
8-11,-6.00,4.20,-0.75,119.83
9-1,0.00,4.80,1.47,-1174.94
9-11,-6.00,4.80,4.31,626.20
1-1,0.00,0.00,3.67,494.49
1-10,-5.40,0.00,4.95,-290.58
1-11,-6.00,0.00,5.00,764.65
1-2,-0.60,0.00,1.38,124.09
1-3,-1.20,0.00,1.34,-197.85
1-4,-1.80,0.00,0.98,506.73
1-5,-2.40,0.00,0.08,542.33
1-6,-3.00,0.00,5.56,24.83
1-7,-3.60,0.00,-1.05,-1529.68
1-8,-4.20,0.00,-1.91,-1120.62
1-9,-4.80,0.00,-0.40,-365.76
10-1,0.00,5.40,3.56,1350.49
10-11,-6.00,5.40,9.91,-85.24
11-1,0.00,6.00,0.35,241.44
11-10,-5.40,6.00,-4.51,787.42
11-11,-6.00,6.00,0.59,-282.40
11-2,-0.60,6.00,-3.61,-103.37
11-3,-1.20,6.00,4.38,803.63
11-4,-1.80,6.00,-4.69,439.43
11-5,-2.40,6.00,-2.08,-1954.76
11-6,-3.00,6.00,-1.88,-70.93
11-7,-3.60,6.00,-3.66,898.43
11-8,-4.20,6.00,3.37,1122.03
11-9,-4.80,6.00,0.62,487.05
2-1,0.00,0.60,4.01,1904.29
2-11,-6.00,0.60,-2.66,459.06
3-1,0.00,1.20,-1.90,-258.91
3-11,-6.00,1.20,8.40,-23.58
4-1,0.00,1.80,-3.62,-1690.63
4-11,-6.00,1.80,-7.19,-165.03
5-1,0.00,2.40,-4.29,66.89
5-11,-6.00,2.40,-7.07,-519.53
6-1,0.00,3.00,6.17,677.37
6-10,-5.40,3.00,-0.84,-206.24
6-11,-6.00,3.00,-2.77,-784.90
6-2,-0.60,3.00,7.04,22.53
6-3,-1.20,3.00,-1.35,18.50
6-4,-1.80,3.00,0.82,-1382.13
6-5,-2.40,3.00,0.33,-664.44
6-6,-3.00,3.00,3.23,-659.99
6-7,-3.60,3.00,-6.06,-716.98
6-8,-4.20,3.00,-2.86,-295.16
6-9,-4.80,3.00,3.41,717.02
7-1,0.00,3.60,-2.51,1258.67
7-11,-6.00,3.60,-0.20,1872.54
8-1,0.00,4.20,0.27,-218.75
8-11,-6.00,4.20,-3.11,-1974.91
9-1,0.00,4.80,-2.01,847.86
9-11,-6.00,4.80,-2.34,1182.23
1-1,0.00,0.00,-4.89,1538.18
1-10,-5.40,0.00,-0.27,5296.41
1-11,-6.00,0.00,2.77,14.18
1-2,-0.60,0.00,0.08,-154.03
1-3,-1.20,0.00,8.87,277.18
1-4,-1.80,0.00,2.58,166.17
1-5,-2.40,0.00,-5.23,1090.26
1-6,-3.00,0.00,-2.37,515.31
1-7,-3.60,0.00,2.35,890.46
1-8,-4.20,0.00,1.90,-894.30
1-9,-4.80,0.00,3.44,187.05
10-1,0.00,5.40,-8.86,-1155.37
10-11,-6.00,5.40,4.75,298.21
11-1,0.00,6.00,2.91,14.22
11-10,-5.40,6.00,4.05,577.33
11-11,-6.00,6.00,7.71,-1071.42
11-2,-0.60,6.00,1.89,113.84
11-3,-1.20,6.00,0.41,1625.34
11-4,-1.80,6.00,-0.24,-879.17
11-5,-2.40,6.00,-4.09,-3290.02
11-6,-3.00,6.00,-0.18,1126.57
11-7,-3.60,6.00,2.33,-705.65
11-8,-4.20,6.00,-6.26,-79.98
11-9,-4.80,6.00,3.24,668.91
2-1,0.00,0.60,0.78,6343.69
2-11,-6.00,0.60,3.40,145.80
3-1,0.00,1.20,-0.35,1121.53
3-11,-6.00,1.20,7.01,388.10
4-1,0.00,1.80,-3.96,241.62
4-11,-6.00,1.80,3.45,130.78
5-1,0.00,2.40,1.15,365.96
5-11,-6.00,2.40,10.14,200.96
6-1,0.00,3.00,-1.68,-203.73
6-10,-5.40,3.00,2.35,-1256.68
6-11,-6.00,3.00,0.93,420.35
6-2,-0.60,3.00,-4.07,-3219.18
6-3,-1.20,3.00,-2.87,-1823.43
6-4,-1.80,3.00,-4.80,-73.88
6-5,-2.40,3.00,6.18,1394.84
6-6,-3.00,3.00,-2.40,2078.31
6-7,-3.60,3.00,1.29,-3790.04
6-8,-4.20,3.00,-3.39,949.60
6-9,-4.80,3.00,-2.02,3471.04
7-1,0.00,3.60,-5.38,285.66
7-11,-6.00,3.60,2.04,120.54
8-1,0.00,4.20,-1.13,-1108.45
8-11,-6.00,4.20,3.59,-29.16
9-1,0.00,4.80,-6.06,300.44
9-11,-6.00,4.80,9.61,-820.11
