Mode: Fusion | Features: RSSI(4) + RTT(4)
Model Input Dimension: 8
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
61     | 4.7132     | 0.5152     | 3.5789     | 0.5094     | 0.1097     | 0.0940       | 0.2495       |             | 1.2120   | 0.344  
62     | 4.6155     | 0.5092     | 3.4886     | 0.5081     | 0.1096     | 0.0863       | 0.2823       |             | 1.1731   | 0.369  
63     | 4.4557     | 0.5073     | 3.3765     | 0.4705     | 0.1014     | 0.0876       | 0.2007       |             | 1.1722   | 0.288  
64     | 4.4739     | 0.4992     | 3.4123     | 0.4607     | 0.1017     | 0.0818       | 0.1985       |             | 1.1629   | 0.280  
65     | 4.3914     | 0.4803     | 3.3591     | 0.4502     | 0.1019     | 0.0820       | 0.2005       |             | 1.2238   | 0.282  
66     | 4.4163     | 0.4930     | 3.3738     | 0.4449     | 0.1046     | 0.0828       | 0.2211       |             | 1.2306   | 0.304  
67     | 4.6233     | 0.5214     | 3.5167     | 0.4744     | 0.1108     | 0.0939       | 0.2584       |             | 1.2302   | 0.352  
68     | 4.5166     | 0.5203     | 3.4222     | 0.4627     | 0.1114     | 0.0754       | 0.2269       |             | 1.2606   | 0.302  
69     | 4.2908     | 0.4676     | 3.2924     | 0.4236     | 0.1071     | 0.0765       | 0.1456       |             | 1.2405   | 0.222  
70     | 4.3384     | 0.5191     | 3.2787     | 0.4384     | 0.1023     | 0.0720       | 0.1902       |             | 1.1542   | 0.262  
71     | 4.3117     | 0.4976     | 3.2840     | 0.4295     | 0.1006     | 0.0850       | 0.1777       |             | 1.1964   | 0.263  
72     | 4.1654     | 0.4487     | 3.1745     | 0.4407     | 0.1014     | 0.0715       | 0.2041       |             | 1.1127   | 0.276  
73     | 4.1900     | 0.4719     | 3.2080     | 0.4125     | 0.0976     | 0.0755       | 0.1643       |             | 1.1676   | 0.240  
74     | 4.1797     | 0.4386     | 3.2222     | 0.4203     | 0.0986     | 0.0832       | 0.1732       |             | 1.1647   | 0.256  
75     | 4.2412     | 0.4510     | 3.2826     | 0.4093     | 0.0982     | 0.0813       | 0.1534       |             | 1.2114   | 0.235  
76     | 4.2223     | 0.4940     | 3.2406     | 0.3946     | 0.0931     | 0.0789       | 0.1726       |             | 1.1475   | 0.252  
77     | 4.1818     | 0.4481     | 3.2321     | 0.4072     | 0.0945     | 0.0541       | 0.2002       |             | 1.1483   | 0.254  
78     | 4.1488     | 0.4440     | 3.2069     | 0.4035     | 0.0943     | 0.0553       | 0.1815       |             | 1.1530   | 0.237  
79     | 4.2386     | 0.4485     | 3.2941     | 0.4034     | 0.0926     | 0.0543       | 0.1754       |             | 1.1576   | 0.230  
80     | 4.2709     | 0.4441     | 3.3218     | 0.4107     | 0.0943     | 0.0732       | 0.2193       |             | 1.1718   | 0.293  
81     | 4.3815     | 0.4664     | 3.3852     | 0.4316     | 0.0983     | 0.0769       | 0.1967       |             | 1.1115   | 0.274  
82     | 4.2388     | 0.4259     | 3.3163     | 0.3995     | 0.0972     | 0.0875       | 0.1802       |             | 1.1436   | 0.268  
83     | 4.3103     | 0.4644     | 3.3537     | 0.3917     | 0.1005     | 0.0833       | 0.1654       |             | 1.1101   | 0.249  
84     | 4.2928     | 0.4195     | 3.3895     | 0.3862     | 0.0976     | 0.0637       | 0.1764       |             | 1.1200   | 0.240  
85     | 4.2212     | 0.4323     | 3.3112     | 0.3833     | 0.0944     | 0.0614       | 0.1586       |             | 1.1215   | 0.220  
86     | 4.4964     | 0.4947     | 3.4835     | 0.4178     | 0.1004     | 0.0647       | 0.2074       |             | 1.1239   | 0.272  
87     | 4.2943     | 0.4315     | 3.3849     | 0.3810     | 0.0970     | 0.0774       | 0.1941       |             | 1.1236   | 0.272  
88     | 4.0896     | 0.3706     | 3.2553     | 0.3675     | 0.0962     | 0.0798       | 0.1561       |             | 1.1034   | 0.236  
89     | 4.0198     | 0.4017     | 3.1603     | 0.3660     | 0.0918     | 0.0776       | 0.1483       |             | 1.0994   | 0.226  
90     | 3.9642     | 0.3898     | 3.1356     | 0.3482     | 0.0906     | 0.0797       | 0.1370       |             | 1.0884   | 0.217  
91     | 3.8632     | 0.3641     | 3.0677     | 0.3411     | 0.0902     | 0.0753       | 0.1314       |             | 1.1193   | 0.207  
92     | 4.0873     | 0.3945     | 3.2425     | 0.3560     | 0.0944     | 0.0763       | 0.1722       |             | 1.0802   | 0.248  
93     | 4.1340     | 0.4040     | 3.2692     | 0.3677     | 0.0931     | 0.0849       | 0.1310       |             | 1.1020   | 0.216  
94     | 4.1616     | 0.3907     | 3.3009     | 0.3745     | 0.0955     | 0.0947       | 0.1758       |             | 1.1219   | 0.270  
95     | 4.1655     | 0.4267     | 3.2678     | 0.3748     | 0.0961     | 0.0724       | 0.1497       |             | 1.1093   | 0.222  
96     | 4.1366     | 0.3936     | 3.2883     | 0.3619     | 0.0927     | 0.0854       | 0.1467       |             | 1.0664   | 0.232  
97     | 4.0348     | 0.3685     | 3.2277     | 0.3462     | 0.0925     | 0.0731       | 0.1443       |             | 1.0830   | 0.217  
98     | 4.2152     | 0.4079     | 3.3493     | 0.3603     | 0.0977     | 0.0822       | 0.1705       |             | 1.0824   | 0.253  
99     | 3.9870     | 0.3643     | 3.1660     | 0.3598     | 0.0969     | 0.0654       | 0.1729       |             | 1.0908   | 0.238  
100    | 4.0510     | 0.3919     | 3.2064     | 0.3590     | 0.0938     | 0.0755       | 0.1726       |             | 1.0601   | 0.248  
101    | 4.1410     | 0.3709     | 3.3177     | 0.3553     | 0.0972     | 0.0747       | 0.1759       |             | 1.0504   | 0.251  
102    | 4.1689     | 0.3768     | 3.3241     | 0.3666     | 0.1015     | 0.0668       | 0.1904       |             | 1.0560   | 0.257  
103    | 4.1671     | 0.3737     | 3.3237     | 0.3716     | 0.0981     | 0.0751       | 0.1683       |             | 1.0784   | 0.243  
104    | 4.4160     | 0.3744     | 3.5751     | 0.3706     | 0.0959     | 0.0742       | 0.1857       |             | 1.0342   | 0.260  
105    | 4.2310     | 0.3652     | 3.4079     | 0.3616     | 0.0963     | 0.0742       | 0.1765       |             | 0.9314   | 0.251  
106    | 4.3513     | 0.3703     | 3.5165     | 0.3625     | 0.1020     | 0.0800       | 0.1561       |             | 0.9531   | 0.236  
107    | 4.5848     | 0.3948     | 3.7242     | 0.3650     | 0.1008     | 0.0747       | 0.1599       |             | 0.9326   | 0.235  
108    | 4.6699     | 0.4022     | 3.7954     | 0.3690     | 0.1033     | 0.0683       | 0.2014       |             | 0.8910   | 0.270  
109    | 4.8199     | 0.4042     | 3.9294     | 0.3770     | 0.1093     | 0.0864       | 0.1788       |             | 0.9151   | 0.265  
110    | 4.6650     | 0.4249     | 3.7515     | 0.3767     | 0.1118     | 0.0898       | 0.1627       |             | 0.8924   | 0.252  
111    | 4.6620     | 0.4000     | 3.7763     | 0.3704     | 0.1154     | 0.0765       | 0.1501       |             | 0.8834   | 0.227  
112    | 4.6122     | 0.3794     | 3.7655     | 0.3540     | 0.1132     | 0.0883       | 0.1363       |             | 0.8923   | 0.225  
113    | 4.5869     | 0.3785     | 3.7361     | 0.3580     | 0.1144     | 0.0948       | 0.1778       |             | 0.9025   | 0.273  
114    | 4.3459     | 0.3373     | 3.5447     | 0.3499     | 0.1141     | 0.0823       | 0.1484       |             | 0.8780   | 0.231  
115    | 4.5875     | 0.3578     | 3.7607     | 0.3552     | 0.1139     | 0.0746       | 0.1894       |             | 0.8685   | 0.264  
116    | 4.9626     | 0.3950     | 4.0780     | 0.3728     | 0.1168     | 0.0690       | 0.2089       |             | 0.8891   | 0.278  
117    | 4.9629     | 0.4223     | 4.0375     | 0.3845     | 0.1186     | 0.0812       | 0.1939       |             | 0.8398   | 0.275  
118    | 5.1825     | 0.4161     | 4.2531     | 0.3821     | 0.1312     | 0.0725       | 0.1964       |             | 0.8861   | 0.269  
119    | 5.1160     | 0.3700     | 4.2228     | 0.3943     | 0.1289     | 0.0721       | 0.1793       |             | 0.8719   | 0.251  
120    | 4.9915     | 0.4318     | 4.0539     | 0.3813     | 0.1246     | 0.0738       | 0.1562       |             | 0.9026   | 0.230  
121    | 4.9171     | 0.4258     | 4.0156     | 0.3519     | 0.1237     | 0.0809       | 0.1897       |             | 0.9061   | 0.271  
122    | 4.8994     | 0.3962     | 4.0073     | 0.3715     | 0.1244     | 0.0790       | 0.1845       |             | 0.9053   | 0.264  
123    | 5.0046     | 0.4050     | 4.0866     | 0.3832     | 0.1298     | 0.0948       | 0.2012       |             | 0.9619   | 0.296  
124    | 5.2532     | 0.4139     | 4.3017     | 0.3969     | 0.1408     | 0.1276       | 0.1732       |             | 0.9679   | 0.301  
125    | 5.0753     | 0.4164     | 4.1453     | 0.3718     | 0.1418     | 0.0798       | 0.1743       |             | 0.9004   | 0.254  
