==========================================
Experiment: FusionDANN_1_2_3_4
RSSI Features (6): Fixed
RTT Features (4): ['Dist_mm_1', 'Dist_mm_2', 'Dist_mm_3', 'Dist_mm_4']
==========================================
Start Training Seed 42...

Start Training... (Validate on Source Val & Target Val)
Epoch  | Total Loss | Train Cls  | Train D_RSSI | Train D_RTT | Val S Acc  | Val T Entropy | Save        | Test MDE | Score  
27     | 2.2295     | 0.4495     | 0.9076       | 0.8723      | 0.9885     | 1.3857     | (ADV 0.30)  | 0.8472   | 0.296  
28     | 2.2567     | 0.4443     | 0.9457       | 0.8667      | 0.9844     | 1.4114     |             | 0.8526   | 0.279  
29     | 2.2228     | 0.4370     | 0.9134       | 0.8724      | 0.9896     | 1.4002     |             | 0.8257   | 0.289  
30     | 2.2715     | 0.4441     | 0.9568       | 0.8707      | 0.9865     | 1.3282     | (ADV 0.32)  | 0.8473   | 0.322  
31     | 2.2466     | 0.4304     | 0.9475       | 0.8686      | 0.9896     | 1.3403     |             | 0.8429   | 0.319  
32     | 2.2931     | 0.4173     | 0.9857       | 0.8901      | 0.9917     | 1.2745     | (ADV 0.35)  | 0.8576   | 0.354  
33     | 2.3286     | 0.4249     | 1.0260       | 0.8776      | 0.9823     | 1.2504     | (ADV 0.36)  | 0.8783   | 0.357  
34     | 2.3398     | 0.4257     | 1.0185       | 0.8956      | 0.9906     | 1.2558     | (ADV 0.36)  | 0.8620   | 0.363  
35     | 2.2991     | 0.4025     | 0.9801       | 0.9165      | 0.9885     | 1.2122     | (ADV 0.38)  | 0.8334   | 0.382  
36     | 2.3160     | 0.3983     | 0.9762       | 0.9415      | 0.9875     | 1.2052     | (ADV 0.38)  | 0.8388   | 0.385  
37     | 2.4057     | 0.4081     | 1.0215       | 0.9761      | 0.9906     | 1.1929     | (ADV 0.39)  | 0.8315   | 0.394  
38     | 2.3946     | 0.4239     | 1.0250       | 0.9457      | 0.9885     | 1.1640     | (ADV 0.41)  | 0.8154   | 0.407  
39     | 2.3879     | 0.3858     | 1.0458       | 0.9563      | 0.9896     | 1.1514     | (ADV 0.41)  | 0.8591   | 0.414  
40     | 2.4069     | 0.4050     | 1.0430       | 0.9589      | 0.9865     | 1.1576     |             | 0.8587   | 0.408  
41     | 2.4176     | 0.3805     | 1.0582       | 0.9789      | 0.9865     | 1.1437     | (ADV 0.41)  | 0.8643   | 0.415  
42     | 2.5028     | 0.4034     | 1.0859       | 1.0135      | 0.9854     | 1.1414     | (ADV 0.41)  | 0.8758   | 0.415  
43     | 2.4583     | 0.3651     | 1.0648       | 1.0283      | 0.9896     | 1.1413     | (ADV 0.42)  | 0.8584   | 0.419  
44     | 2.4773     | 0.3726     | 1.0477       | 1.0570      | 0.9885     | 1.0835     | (ADV 0.45)  | 0.8591   | 0.447  
45     | 2.4806     | 0.3809     | 1.0555       | 1.0442      | 0.9865     | 1.1079     |             | 0.8895   | 0.433  
46     | 2.4976     | 0.3708     | 1.0737       | 1.0531      | 0.9854     | 1.1027     |             | 0.8623   | 0.434  
47     | 2.4781     | 0.3903     | 1.0612       | 1.0266      | 0.9896     | 1.0782     | (ADV 0.45)  | 0.8529   | 0.451  
48     | 2.5031     | 0.3681     | 1.0881       | 1.0470      | 0.9854     | 1.0840     |             | 0.8911   | 0.443  
49     | 2.5157     | 0.3721     | 1.0908       | 1.0529      | 0.9875     | 1.0262     | (ADV 0.47)  | 0.8845   | 0.474  
50     | 2.4977     | 0.3641     | 1.1059       | 1.0277      | 0.9896     | 1.0583     |             | 0.8646   | 0.460  
51     | 2.5012     | 0.3463     | 1.0979       | 1.0569      | 0.9885     | 1.0199     | (ADV 0.48)  | 0.8125   | 0.479  
52     | 2.5533     | 0.3777     | 1.1260       | 1.0497      | 0.9885     | 1.0620     |             | 0.8065   | 0.458  
53     | 2.5973     | 0.3692     | 1.1476       | 1.0804      | 0.9885     | 1.0205     |             | 0.8800   | 0.478  
54     | 2.5728     | 0.3641     | 1.1276       | 1.0810      | 0.9865     | 1.0271     |             | 0.8445   | 0.473  
55     | 2.6011     | 0.3648     | 1.1420       | 1.0944      | 0.9885     | 1.0178     | (ADV 0.48)  | 0.8346   | 0.480  
56     | 2.6739     | 0.3879     | 1.1792       | 1.1068      | 0.9865     | 0.9591     | (ADV 0.51)  | 0.8105   | 0.507  
57     | 2.6440     | 0.3688     | 1.1783       | 1.0968      | 0.9875     | 0.9855     |             | 0.8310   | 0.495  
58     | 2.6040     | 0.3378     | 1.1781       | 1.0882      | 0.9906     | 0.9826     |             | 0.8820   | 0.499  
59     | 2.6908     | 0.3796     | 1.1786       | 1.1325      | 0.9875     | 0.9572     | (ADV 0.51)  | 0.7986   | 0.509  
60     | 2.5762     | 0.3289     | 1.1446       | 1.1027      | 0.9875     | 0.9016     | (ADV 0.54)  | 0.8518   | 0.537  
61     | 2.5911     | 0.3334     | 1.1521       | 1.1057      | 0.9885     | 0.8952     | (ADV 0.54)  | 0.8661   | 0.541  
62     | 2.6575     | 0.3545     | 1.1516       | 1.1513      | 0.9854     | 0.9374     |             | 0.8284   | 0.517  
63     | 2.6865     | 0.3625     | 1.1458       | 1.1782      | 0.9885     | 0.9129     |             | 0.8292   | 0.532  
64     | 2.7091     | 0.3556     | 1.1834       | 1.1701      | 0.9875     | 0.9292     |             | 0.8548   | 0.523  
65     | 2.8097     | 0.3915     | 1.2271       | 1.1911      | 0.9917     | 0.9495     |             | 0.8693   | 0.517  
66     | 2.7718     | 0.3679     | 1.2344       | 1.1695      | 0.9906     | 0.9591     |             | 0.7811   | 0.511  
67     | 2.6649     | 0.3399     | 1.2080       | 1.1170      | 0.9906     | 0.9446     |             | 0.8340   | 0.518  
68     | 2.7132     | 0.3520     | 1.2099       | 1.1513      | 0.9885     | 0.9659     |             | 0.8729   | 0.506  
69     | 2.6625     | 0.3320     | 1.1975       | 1.1330      | 0.9875     | 0.9395     |             | 0.8503   | 0.518  
70     | 2.6796     | 0.3479     | 1.1969       | 1.1349      | 0.9896     | 0.8761     | (ADV 0.55)  | 0.8236   | 0.552  
71     | 2.6275     | 0.3317     | 1.2030       | 1.0928      | 0.9896     | 0.8966     |             | 0.8195   | 0.541  
72     | 2.6030     | 0.3159     | 1.1966       | 1.0905      | 0.9854     | 0.8879     |             | 0.8509   | 0.541  
73     | 2.5905     | 0.3137     | 1.1777       | 1.0991      | 0.9885     | 0.9252     |             | 0.8338   | 0.526  
74     | 2.6370     | 0.3299     | 1.1828       | 1.1243      | 0.9875     | 0.8839     |             | 0.8400   | 0.546  
75     | 2.6472     | 0.3222     | 1.2061       | 1.1189      | 0.9865     | 0.8775     |             | 0.8522   | 0.548  
76     | 2.7293     | 0.3359     | 1.2406       | 1.1528      | 0.9865     | 0.8872     |             | 0.8300   | 0.543  
77     | 2.6875     | 0.3152     | 1.2403       | 1.1320      | 0.9885     | 0.8561     | (ADV 0.56)  | 0.8534   | 0.561  
78     | 2.6533     | 0.3189     | 1.2277       | 1.1067      | 0.9906     | 0.8608     |             | 0.8515   | 0.560  
79     | 2.6293     | 0.3317     | 1.2029       | 1.0947      | 0.9865     | 0.8635     |             | 0.9015   | 0.555  
80     | 2.5897     | 0.3063     | 1.1933       | 1.0901      | 0.9917     | 0.8518     | (ADV 0.57)  | 0.8787   | 0.566  
81     | 2.5509     | 0.3113     | 1.1799       | 1.0597      | 0.9896     | 0.8352     | (ADV 0.57)  | 0.8675   | 0.572  
82     | 2.5300     | 0.2807     | 1.1680       | 1.0814      | 0.9844     | 0.8110     | (ADV 0.58)  | 0.8645   | 0.579  
83     | 2.5772     | 0.2936     | 1.1891       | 1.0945      | 0.9885     | 0.8327     |             | 0.8670   | 0.572  
84     | 2.5881     | 0.2917     | 1.1996       | 1.0969      | 0.9875     | 0.8558     |             | 0.8328   | 0.560  
85     | 2.5875     | 0.2954     | 1.1803       | 1.1118      | 0.9865     | 0.8644     |             | 0.8135   | 0.554  
86     | 2.6264     | 0.3209     | 1.1825       | 1.1230      | 0.9885     | 0.8150     | (ADV 0.58)  | 0.9270   | 0.581  
87     | 2.6457     | 0.3079     | 1.1982       | 1.1396      | 0.9896     | 0.8639     |             | 0.8457   | 0.558  
88     | 2.6721     | 0.3065     | 1.2326       | 1.1330      | 0.9906     | 0.8360     |             | 0.8924   | 0.573  
89     | 2.6748     | 0.3030     | 1.2398       | 1.1319      | 0.9802     | 0.8395     |             | 0.9282   | 0.560  
90     | 2.6711     | 0.3139     | 1.2084       | 1.1488      | 0.9865     | 0.8359     |             | 0.8777   | 0.568  
91     | 2.7028     | 0.3100     | 1.2576       | 1.1351      | 0.9927     | 0.8452     |             | 0.8566   | 0.570  
92     | 2.7224     | 0.3287     | 1.2594       | 1.1344      | 0.9833     | 0.7953     | (ADV 0.59)  | 0.8641   | 0.586  
93     | 2.6887     | 0.3049     | 1.2326       | 1.1512      | 0.9865     | 0.7719     | (ADV 0.60)  | 0.8392   | 0.601  
