==========================================
Experiment: FusionDANN_1_2_3_4
RSSI Features (6): Fixed
RTT Features (4): ['Dist_mm_1', 'Dist_mm_2', 'Dist_mm_3', 'Dist_mm_4']
==========================================
Start Training Seed 42...

Start Training... (Validate on Source Val & Target Val)
Epoch  | Total Loss | Train Cls  | Train D_RSSI | Train D_RTT | Val S Acc  | Val T Entropy | Save        | Test MDE | Score  
61     | 2.6213     | 0.3325     | 1.2084       | 1.0804      | 0.9896     | 0.9671     | (ADV 0.51)  | 0.9385   | 0.506  
62     | 2.6374     | 0.3221     | 1.2063       | 1.1089      | 0.9906     | 0.9410     | (ADV 0.52)  | 0.8886   | 0.520  
63     | 2.7189     | 0.3567     | 1.2259       | 1.1364      | 0.9875     | 0.9181     | (ADV 0.53)  | 0.8739   | 0.528  
64     | 2.6606     | 0.3289     | 1.1914       | 1.1403      | 0.9896     | 0.8882     | (ADV 0.55)  | 0.8678   | 0.545  
65     | 2.6361     | 0.3213     | 1.1729       | 1.1420      | 0.9906     | 0.9019     |             | 0.9317   | 0.540  
66     | 2.6352     | 0.3317     | 1.1678       | 1.1357      | 0.9917     | 0.8972     |             | 0.8832   | 0.543  
67     | 2.6552     | 0.3453     | 1.1656       | 1.1443      | 0.9906     | 0.8945     |             | 0.9176   | 0.543  
68     | 2.6473     | 0.3537     | 1.1394       | 1.1543      | 0.9906     | 0.8662     | (ADV 0.56)  | 0.8648   | 0.558  
69     | 2.6154     | 0.3516     | 1.1419       | 1.1219      | 0.9917     | 0.8755     |             | 0.9509   | 0.554  
70     | 2.5816     | 0.3149     | 1.1655       | 1.1012      | 0.9906     | 0.8211     | (ADV 0.58)  | 0.8755   | 0.580  
71     | 2.6418     | 0.3299     | 1.1827       | 1.1292      | 0.9906     | 0.8133     | (ADV 0.58)  | 0.8900   | 0.584  
72     | 2.6631     | 0.3481     | 1.1689       | 1.1462      | 0.9906     | 0.8275     |             | 0.9034   | 0.577  
73     | 2.6229     | 0.3320     | 1.1498       | 1.1411      | 0.9927     | 0.8276     |             | 0.9296   | 0.579  
74     | 2.5429     | 0.2899     | 1.1221       | 1.1309      | 0.9938     | 0.8186     | (ADV 0.58)  | 0.8949   | 0.584  
75     | 2.5627     | 0.2941     | 1.1169       | 1.1516      | 0.9917     | 0.8180     |             | 0.8808   | 0.583  
76     | 2.5985     | 0.3030     | 1.1415       | 1.1541      | 0.9906     | 0.8436     |             | 0.9132   | 0.569  
77     | 2.6028     | 0.2930     | 1.1682       | 1.1415      | 0.9917     | 0.7983     | (ADV 0.59)  | 0.8719   | 0.593  
78     | 2.6095     | 0.2939     | 1.1760       | 1.1396      | 0.9906     | 0.8097     |             | 0.8413   | 0.586  
79     | 2.6200     | 0.2936     | 1.1720       | 1.1544      | 0.9906     | 0.8285     |             | 0.8478   | 0.576  
80     | 2.6157     | 0.2956     | 1.1548       | 1.1653      | 0.9885     | 0.8109     |             | 0.8923   | 0.583  
81     | 2.6700     | 0.3112     | 1.1659       | 1.1929      | 0.9917     | 0.8007     |             | 0.9368   | 0.591  
82     | 2.6911     | 0.3130     | 1.2211       | 1.1569      | 0.9885     | 0.8432     |             | 0.9343   | 0.567  
83     | 2.6526     | 0.3156     | 1.1767       | 1.1603      | 0.9906     | 0.8319     |             | 0.8898   | 0.575  
84     | 2.5955     | 0.2955     | 1.1635       | 1.1365      | 0.9917     | 0.7909     | (ADV 0.60)  | 0.8588   | 0.596  
85     | 2.5963     | 0.2912     | 1.1728       | 1.1323      | 0.9938     | 0.8343     |             | 0.9588   | 0.577  
86     | 2.6615     | 0.3034     | 1.2058       | 1.1523      | 0.9906     | 0.8018     |             | 0.9274   | 0.590  
87     | 2.6308     | 0.2913     | 1.1874       | 1.1521      | 0.9927     | 0.8191     |             | 0.8981   | 0.583  
88     | 2.6320     | 0.2836     | 1.1657       | 1.1827      | 0.9938     | 0.8316     |             | 0.8877   | 0.578  
89     | 2.6714     | 0.2915     | 1.1637       | 1.2162      | 0.9896     | 0.7853     | (ADV 0.60)  | 0.9084   | 0.597  
90     | 2.6078     | 0.2668     | 1.1526       | 1.1884      | 0.9948     | 0.7621     | (ADV 0.61)  | 0.8671   | 0.614  
91     | 2.6381     | 0.2750     | 1.1634       | 1.1998      | 0.9896     | 0.7963     |             | 0.9263   | 0.591  
92     | 2.7014     | 0.3082     | 1.1697       | 1.2235      | 0.9938     | 0.7910     |             | 0.9296   | 0.598  
93     | 2.6456     | 0.2963     | 1.1678       | 1.1815      | 0.9948     | 0.7712     |             | 0.9185   | 0.609  
94     | 2.6253     | 0.2689     | 1.1694       | 1.1871      | 0.9938     | 0.8205     |             | 0.9129   | 0.584  
95     | 2.5769     | 0.2693     | 1.1651       | 1.1425      | 0.9927     | 0.7831     |             | 0.8992   | 0.601  
96     | 2.5755     | 0.2662     | 1.1519       | 1.1574      | 0.9906     | 0.7389     | (ADV 0.62)  | 0.8885   | 0.621  
97     | 2.5599     | 0.2455     | 1.1395       | 1.1749      | 0.9927     | 0.7433     |             | 0.8838   | 0.621  
98     | 2.5963     | 0.2760     | 1.1286       | 1.1917      | 0.9927     | 0.7770     |             | 0.8996   | 0.604  
99     | 2.6210     | 0.2981     | 1.1407       | 1.1822      | 0.9938     | 0.7882     |             | 0.9186   | 0.600  
100    | 2.5391     | 0.2720     | 1.1395       | 1.1276      | 0.9927     | 0.7636     |             | 0.8446   | 0.611  
101    | 2.5755     | 0.2650     | 1.1670       | 1.1436      | 0.9927     | 0.7943     |             | 0.8964   | 0.596  
102    | 2.6039     | 0.2761     | 1.1653       | 1.1625      | 0.9917     | 0.7779     |             | 0.9766   | 0.603  
103    | 2.5897     | 0.2820     | 1.1561       | 1.1516      | 0.9927     | 0.7649     |             | 0.9610   | 0.610  
104    | 2.5804     | 0.2690     | 1.1706       | 1.1408      | 0.9938     | 0.7688     |             | 0.9869   | 0.609  
