Combo,Avg_Src_Acc,Avg_Src_Acc_STD,Avg_Src_MDE,Avg_Src_MDE_STD,Avg_Tgt_Acc,Avg_Tgt_Acc_STD,Avg_Tgt_MDE,Avg_Tgt_MDE_STD,Seeds_Detail
GeoSPA_2,95.7755,1.0619,0.0768,0.0206,26.4082,3.4365,1.1528,0.0709,"[10, 99, 6767, 423, 123456]"
GeoSPA_3,92.7551,1.1248,0.1298,0.0260,27.6327,3.5248,1.0429,0.0654,"[10, 99, 6767, 423, 123456]"
GeoSPA_4,95.8163,0.8628,0.0646,0.0170,27.9796,1.4759,1.1315,0.0712,"[10, 99, 6767, 423, 123456]"
GeoSPA_1_2,97.4286,0.7230,0.0398,0.0069,41.0408,2.6837,0.7273,0.1001,"[10, 99, 6767, 423, 123456]"
GeoSPA_1_3,96.6327,0.5681,0.0511,0.0152,41.2245,2.6969,0.7435,0.0846,"[10, 99, 6767, 423, 123456]"
GeoSPA_1_4,97.8571,0.7033,0.0323,0.0162,42.6327,3.6446,0.7560,0.0950,"[10, 99, 6767, 423, 123456]"
GeoSPA_2_3,96.7347,0.4786,0.0544,0.0100,27.9184,2.0682,0.8679,0.0599,"[10, 99, 6767, 423, 123456]"
GeoSPA_2_4,97.7143,0.0559,0.0339,0.0114,32.5306,2.4811,0.8200,0.0500,"[10, 99, 6767, 423, 123456]"
GeoSPA_3_4,97.0816,0.9172,0.0621,0.0202,34.2857,5.9618,0.8895,0.1557,"[10, 99, 6767, 423, 123456]"
GeoSPA_1_2_3,98.0204,0.4244,0.0302,0.0109,44.3878,1.8551,0.5322,0.0240,"[10, 99, 6767, 423, 123456]"
GeoSPA_1_2_4,98.6735,0.5153,0.0216,0.0084,44.8571,3.7371,0.5611,0.0905,"[10, 99, 6767, 423, 123456]"
GeoSPA_1_3_4,98.4490,0.5608,0.0305,0.0123,48.2041,3.4260,0.5895,0.0705,"[10, 99, 6767, 423, 123456]"
GeoSPA_2_3_4,98.3469,0.4293,0.0238,0.0125,37.1020,4.0513,0.6754,0.1202,"[10, 99, 6767, 423, 123456]"
GeoSPA_1_2_3_4,98.7551,0.2832,0.0182,0.0095,45.9796,2.9109,0.5190,0.0693,"[10, 99, 6767, 423, 123456]"

// version 2 s:2026-1-1 t:2026-2-4 (40) all rtt combo 500 epochs
GeoSPA_1,94.8639,0.9146,0.0870,0.0149,38.9116,2.7951,0.9699,0.1461,"[42, 67, 1024]"
GeoSPA_2,95.7483,0.8497,0.0705,0.0192,27.2109,3.9340,1.1419,0.0543,"[42, 67, 1024]"
GeoSPA_3,93.3333,1.1827,0.1112,0.0199,31.8027,2.6221,0.9390,0.0585,"[42, 67, 1024]"
GeoSPA_4,94.5918,0.2041,0.0863,0.0113,28.7415,1.6369,1.1411,0.0319,"[42, 67, 1024]"
GeoSPA_1_2,97.5850,0.5620,0.0378,0.0108,41.6667,3.4968,0.7355,0.1606,"[42, 67, 1024]"
GeoSPA_1_3,95.7823,1.4298,0.0622,0.0234,41.1565,2.0442,0.6828,0.0570,"[42, 67, 1024]"
GeoSPA_1_4,97.7551,0.5399,0.0374,0.0090,45.2721,4.7230,0.7390,0.1082,"[42, 67, 1024]"
GeoSPA_2_3,97.2789,0.6151,0.0406,0.0072,34.7959,5.9210,0.7791,0.1000,"[42, 67, 1024]"
GeoSPA_2_4,97.7551,0.5102,0.0318,0.0069,33.0952,2.3916,0.8133,0.0479,"[42, 67, 1024]"
GeoSPA_3_4,96.7347,0.1767,0.0672,0.0032,34.7959,4.9498,0.9171,0.0677,"[42, 67, 1024]"
GeoSPA_1_2_3,97.9252,0.2568,0.0270,0.0041,45.9864,3.5131,0.5334,0.0176,"[42, 67, 1024]"
GeoSPA_1_2_4,98.6054,0.3584,0.0202,0.0076,43.3673,5.5130,0.5929,0.1026,"[42, 67, 1024]"
GeoSPA_1_3_4,97.7551,0.6207,0.0378,0.0014,49.4898,2.5016,0.6286,0.0270,"[42, 67, 1024]"
GeoSPA_2_3_4,97.7211,0.6151,0.0357,0.0090,37.1769,2.3209,0.6695,0.0601,"[42, 67, 1024]"
GeoSPA_1_2_3_4,98.6395,0.0589,0.0200,0.0036,51.2585,0.8311,0.4965,0.0218,"[42, 67, 1024]"
