Combo,Avg_Src_Acc,Avg_Src_MDE,Avg_Tgt_Acc,Avg_Tgt_MDE,Seeds_Detail
DNN_Only_RTT_1_4,89.9603,0.1941,26.0147,1.2732,"[42, 6767, 123456]"
DNN_Only_RTT_2_3,85.3458,0.2057,27.9365,1.0299,"[42, 6767, 123456]"
DNN_Only_RTT_2_4,88.7528,0.2051,17.1655,1.2445,"[42, 6767, 123456]"
DNN_Only_RTT_3_4,79.6769,0.7047,11.7687,2.5645,"[42, 6767, 123456]"
DNN_Only_RTT_1_2_3,94.7506,0.0655,30.3571,1.0155,"[42, 6767, 123456]"
DNN_Only_RTT_1_2_4,97.8628,0.0276,30.7540,0.9727,"[42, 6767, 123456]"
DNN_Only_RTT_1_3_4,95.5102,0.0747,25.7710,1.2709,"[42, 6767, 123456]"
DNN_Only_RTT_2_3_4,96.8991,0.0465,25.7256,0.9862,"[42, 6767, 123456]"
DNN_Only_RTT_1_2_3_4,98.6338,0.0163,29.1893,0.9663,"[42, 6767, 123456]"

// 2026/2/4
DNN_Fusion_RTT_1,98.9512,0.0172,32.4773,1.2074,"[42, 6767, 123456]"
DNN_Fusion_RTT_2,98.6168,0.0192,24.3878,1.3097,"[42, 6767, 123456]"
DNN_Fusion_RTT_3,97.9989,0.0353,24.8923,1.2033,"[42, 6767, 123456]"
DNN_Fusion_RTT_4,98.6508,0.0225,25.6633,1.2875,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2,99.5408,0.0062,33.4524,1.0875,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_3,99.2404,0.0112,37.0181,1.0062,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_4,99.4274,0.0079,36.8027,1.0091,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_3,99.2517,0.0089,26.4853,1.0800,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_4,99.4331,0.0074,25.9354,1.0694,"[42, 6767, 123456]"
DNN_Fusion_RTT_3_4,99.2404,0.0134,26.8084,1.2008,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_3,99.6712,0.0036,33.8946,0.8377,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_4,99.8016,0.0020,35.8050,0.7848,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_3_4,99.6939,0.0039,36.9218,0.9688,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_3_4,99.5465,0.0056,26.2245,0.9869,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_3_4,99.7166,0.0031,33.9683,0.8225,"[42, 6767, 123456]"
DNN_Only_RTT_1,39.6655,2.0068,14.5238,2.2967,"[42, 6767, 123456]"
DNN_Only_RTT_2,38.5091,1.8638,11.8481,2.5674,"[42, 6767, 123456]"
DNN_Only_RTT_3,42.4206,1.6777,14.3367,2.5788,"[42, 6767, 123456]"
DNN_Only_RTT_4,40.9977,1.9164,7.8401,2.7431,"[42, 6767, 123456]"
DNN_Only_RTT_1_2,85.1020,0.3715,21.7914,1.7830,"[42, 6767, 123456]"
DNN_Only_RTT_1_3,83.2313,0.2618,35.7313,1.0432,"[42, 6767, 123456]"
DNN_Only_RTT_1_4,89.9603,0.1941,29.3084,1.0818,"[42, 6767, 123456]"
DNN_Only_RTT_2_3,85.3458,0.2057,32.3299,0.9006,"[42, 6767, 123456]"
DNN_Only_RTT_2_4,88.7528,0.2051,21.9444,1.1954,"[42, 6767, 123456]"
DNN_Only_RTT_3_4,79.6769,0.7047,19.2460,2.5491,"[42, 6767, 123456]"
DNN_Only_RTT_1_2_3,94.7506,0.0655,32.8912,0.8410,"[42, 6767, 123456]"
DNN_Only_RTT_1_2_4,97.8628,0.0276,32.1995,0.7864,"[42, 6767, 123456]"
DNN_Only_RTT_1_3_4,95.5102,0.0747,29.0590,1.1031,"[42, 6767, 123456]"
DNN_Only_RTT_2_3_4,96.8991,0.0465,24.5351,0.9448,"[42, 6767, 123456]"
DNN_Only_RTT_1_2_3_4,98.6338,0.0163,26.8821,0.8682,"[42, 6767, 123456]"

// 2026/1/2
DNN_Fusion_RTT_1,98.9512,0.0172,16.1961,1.3085,"[42, 6767, 123456]"
DNN_Fusion_RTT_2,98.6168,0.0192,14.9830,1.4481,"[42, 6767, 123456]"
DNN_Fusion_RTT_3,97.9989,0.0353,14.3594,1.5968,"[42, 6767, 123456]"
DNN_Fusion_RTT_4,98.6508,0.0225,16.5476,1.7334,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2,99.5408,0.0062,20.8277,1.1195,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_3,99.2404,0.0112,19.9433,1.3096,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_4,99.4274,0.0079,20.4649,1.3140,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_3,99.2517,0.0089,21.5249,1.1754,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_4,99.4331,0.0074,22.2449,1.2943,"[42, 6767, 123456]"
DNN_Fusion_RTT_3_4,99.2404,0.0134,22.2052,1.5497,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_3,99.6712,0.0036,27.3469,0.9865,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_4,99.8016,0.0020,28.2766,1.0087,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_3_4,99.6939,0.0039,24.5692,1.2501,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_3_4,99.5465,0.0056,27.9365,1.1958,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_3_4,99.7166,0.0031,32.2052,0.9501,"[42, 6767, 123456]"
DNN_Only_RTT_1,39.6655,2.0068,11.6100,2.6133,"[42, 6767, 123456]"
