Combo,Avg_Src_Acc,Avg_Src_MDE,Avg_Tgt_Acc,Avg_Tgt_MDE,Seeds_Detail

// 2026/1/14 data leakage fix
DNN_Fusion_RTT_3,97.9989,0.0353,25.0340,1.1963,"[42, 6767, 123456]"
DNN_Fusion_RTT_4,98.6508,0.0225,25.5782,1.2820,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2,99.5408,0.0062,35.4875,1.0492,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_3,99.2404,0.0112,37.3016,0.9437,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_4,99.4274,0.0079,38.1859,0.9718,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_3,99.2517,0.0089,26.6667,1.0598,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_4,99.4331,0.0074,25.7483,1.0571,"[42, 6767, 123456]"
DNN_Fusion_RTT_3_4,99.2404,0.0134,26.8934,1.1955,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_3,99.6712,0.0036,34.1327,0.8191,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_4,99.8016,0.0020,36.7347,0.7557,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_3_4,99.6939,0.0039,37.2619,0.9345,"[42, 6767, 123456]"
DNN_Fusion_RTT_2_3_4,99.5465,0.0056,26.2812,0.9680,"[42, 6767, 123456]"
DNN_Fusion_RTT_1_2_3_4,99.7166,0.0031,34.8810,0.7841,"[42, 6767, 123456]"
DNN_Only_RTT_1,39.6655,2.0068,14.9773,2.2746,"[42, 6767, 123456]"
DNN_Only_RTT_2,38.5091,1.8638,11.8481,2.5228,"[42, 6767, 123456]"
DNN_Only_RTT_3,42.4206,1.6777,14.3651,2.5749,"[42, 6767, 123456]"
DNN_Only_RTT_4,40.9977,1.9164,7.8288,2.7348,"[42, 6767, 123456]"
DNN_Only_RTT_1_2,85.1020,0.3715,23.4921,1.6853,"[42, 6767, 123456]"
DNN_Only_RTT_1_3,83.2313,0.2618,35.6859,1.0295,"[42, 6767, 123456]"
DNN_Only_RTT_1_4,89.9603,0.1941,28.7585,1.0871,"[42, 6767, 123456]"
DNN_Only_RTT_2_3,85.3458,0.2057,32.4546,0.8779,"[42, 6767, 123456]"
DNN_Only_RTT_2_4,88.7528,0.2051,22.1939,1.1976,"[42, 6767, 123456]"
DNN_Only_RTT_3_4,79.6769,0.7047,19.2687,2.5290,"[42, 6767, 123456]"
DNN_Only_RTT_1_2_3,94.7506,0.0655,32.9875,0.8309,"[42, 6767, 123456]"
DNN_Only_RTT_1_2_4,97.8628,0.0276,32.1655,0.7800,"[42, 6767, 123456]"
DNN_Only_RTT_1_3_4,95.5102,0.0747,29.0193,1.1138,"[42, 6767, 123456]"
DNN_Only_RTT_2_3_4,96.8991,0.0465,24.5125,0.9402,"[42, 6767, 123456]"
DNN_Only_RTT_1_2_3_4,98.6338,0.0163,27.0181,0.8615,"[42, 6767, 123456]"
