Mode: Fusion | Features: RSSI(4) + RTT(2)
Model Input Dimension: 6
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
79     | 5.1910     | 0.5445     | 4.0819     | 0.4789     | 0.0856     | 0.1014       | 0.2676       |             | 0.8684   | 0.369  
80     | 5.1507     | 0.5519     | 4.0432     | 0.4704     | 0.0852     | 0.0767       | 0.2544       | (saved)     | 0.8038   | 0.331  
81     | 4.9652     | 0.5003     | 3.8888     | 0.4922     | 0.0838     | 0.0744       | 0.2497       | (saved)     | 0.9109   | 0.324  
82     | 5.0494     | 0.5060     | 3.9790     | 0.4772     | 0.0872     | 0.0966       | 0.2742       |             | 0.9415   | 0.371  
83     | 4.9843     | 0.5379     | 3.8866     | 0.4739     | 0.0859     | 0.0796       | 0.2870       |             | 0.8614   | 0.367  
84     | 4.9476     | 0.4929     | 3.9019     | 0.4646     | 0.0882     | 0.0805       | 0.2825       |             | 0.9545   | 0.363  
85     | 5.0805     | 0.5154     | 4.0076     | 0.4708     | 0.0868     | 0.0895       | 0.2692       |             | 0.8526   | 0.359  
86     | 5.0331     | 0.4879     | 4.0079     | 0.4514     | 0.0859     | 0.0916       | 0.2458       |             | 0.8445   | 0.337  
87     | 5.0761     | 0.5039     | 4.0433     | 0.4384     | 0.0905     | 0.0792       | 0.2206       | (saved)     | 0.8535   | 0.300  
88     | 5.0269     | 0.5506     | 3.9550     | 0.4296     | 0.0917     | 0.0672       | 0.2149       | (saved)     | 0.9068   | 0.282  
89     | 4.8056     | 0.4568     | 3.8408     | 0.4193     | 0.0887     | 0.0509       | 0.2040       | (saved)     | 0.8651   | 0.255  
90     | 5.1066     | 0.4759     | 4.0929     | 0.4482     | 0.0896     | 0.0673       | 0.2776       |             | 0.9389   | 0.345  
91     | 5.0148     | 0.5270     | 3.9688     | 0.4288     | 0.0902     | 0.0700       | 0.2562       |             | 0.9399   | 0.326  
92     | 4.8019     | 0.4841     | 3.8299     | 0.4036     | 0.0844     | 0.0759       | 0.2641       |             | 0.8282   | 0.340  
93     | 4.8812     | 0.4981     | 3.8865     | 0.4117     | 0.0849     | 0.0640       | 0.2291       |             | 0.9060   | 0.293  
94     | 4.7825     | 0.4565     | 3.8376     | 0.4028     | 0.0856     | 0.0655       | 0.2136       |             | 0.9753   | 0.279  
95     | 4.5964     | 0.4612     | 3.6644     | 0.3837     | 0.0871     | 0.0605       | 0.2351       |             | 0.9875   | 0.296  
96     | 4.6208     | 0.4915     | 3.6504     | 0.3923     | 0.0867     | 0.0519       | 0.2327       |             | 0.9832   | 0.285  
97     | 4.6626     | 0.4501     | 3.7239     | 0.3986     | 0.0899     | 0.0835       | 0.2435       |             | 0.9445   | 0.327  
98     | 4.6681     | 0.4641     | 3.7399     | 0.3749     | 0.0893     | 0.0591       | 0.2237       |             | 0.9942   | 0.283  
99     | 4.5034     | 0.4496     | 3.5930     | 0.3740     | 0.0869     | 0.0757       | 0.1915       |             | 0.9081   | 0.267  
100    | 4.7705     | 0.4717     | 3.8145     | 0.3957     | 0.0886     | 0.0781       | 0.2516       |             | 0.8834   | 0.330  
101    | 4.8561     | 0.5085     | 3.8583     | 0.4027     | 0.0865     | 0.0733       | 0.2125       |             | 0.9117   | 0.286  
102    | 4.7409     | 0.4821     | 3.7684     | 0.3977     | 0.0927     | 0.0720       | 0.2222       |             | 0.9312   | 0.294  
103    | 5.0145     | 0.4997     | 3.9780     | 0.4424     | 0.0944     | 0.0753       | 0.2616       |             | 0.9555   | 0.337  
104    | 4.9490     | 0.4961     | 3.9262     | 0.4291     | 0.0976     | 0.0778       | 0.2659       |             | 0.9661   | 0.344  
105    | 4.8588     | 0.5049     | 3.8603     | 0.4013     | 0.0923     | 0.0866       | 0.2349       |             | 0.9506   | 0.321  
106    | 4.9729     | 0.4716     | 4.0180     | 0.3933     | 0.0899     | 0.0787       | 0.2195       |             | 0.9856   | 0.298  
107    | 4.7975     | 0.5057     | 3.7995     | 0.3965     | 0.0959     | 0.0738       | 0.2297       |             | 0.9974   | 0.303  
108    | 4.6915     | 0.4924     | 3.7294     | 0.3787     | 0.0911     | 0.0687       | 0.2182       |             | 0.9445   | 0.287  
109    | 4.6337     | 0.4120     | 3.7555     | 0.3752     | 0.0910     | 0.0666       | 0.1888       |             | 0.9198   | 0.255  
110    | 4.8288     | 0.5037     | 3.8531     | 0.3787     | 0.0932     | 0.0667       | 0.2121       |             | 0.9312   | 0.279  
111    | 4.8690     | 0.4745     | 3.9101     | 0.3896     | 0.0947     | 0.0577       | 0.2080       |             | 0.8814   | 0.266  
112    | 4.6559     | 0.4509     | 3.7312     | 0.3759     | 0.0980     | 0.0614       | 0.2057       |             | 0.9610   | 0.267  
113    | 4.6342     | 0.4284     | 3.7293     | 0.3778     | 0.0988     | 0.0555       | 0.2090       |             | 0.7973   | 0.265  
114    | 4.7784     | 0.4637     | 3.8489     | 0.3672     | 0.0986     | 0.0441       | 0.2102       | (saved)     | 0.8635   | 0.254  
115    | 4.5246     | 0.4092     | 3.6569     | 0.3617     | 0.0969     | 0.0545       | 0.1913       | (saved)     | 0.8527   | 0.246  
116    | 4.6305     | 0.4298     | 3.7360     | 0.3642     | 0.1006     | 0.0543       | 0.1994       |             | 0.9325   | 0.254  
117    | 4.4690     | 0.4330     | 3.5941     | 0.3440     | 0.0978     | 0.0508       | 0.1885       | (saved)     | 0.9083   | 0.239  
