Mode: Fusion | Features: RSSI(4) + RTT(1)
Model Input Dimension: 5
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
90     | 6.0486     | 0.7292     | 4.6894     | 0.5633     | 0.0667     | 0.1699       | 0.2856       | (saved)     | 1.3405   | 0.456  
91     | 6.1333     | 0.7912     | 4.7055     | 0.5701     | 0.0665     | 0.1868       | 0.3300       |             | 1.3718   | 0.517  
92     | 6.1942     | 0.7706     | 4.8001     | 0.5542     | 0.0693     | 0.1582       | 0.2878       | (saved)     | 1.3267   | 0.446  
93     | 5.9911     | 0.7609     | 4.6134     | 0.5433     | 0.0735     | 0.2008       | 0.2745       |             | 1.3562   | 0.475  
94     | 5.6739     | 0.6779     | 4.3943     | 0.5366     | 0.0651     | 0.2077       | 0.2832       |             | 1.3124   | 0.491  
95     | 5.7105     | 0.7318     | 4.4106     | 0.5028     | 0.0653     | 0.1571       | 0.2653       | (saved)     | 1.3226   | 0.422  
96     | 5.7315     | 0.7046     | 4.4307     | 0.5325     | 0.0637     | 0.1579       | 0.2657       |             | 1.3284   | 0.424  
97     | 5.8091     | 0.7380     | 4.4811     | 0.5244     | 0.0655     | 0.1431       | 0.2631       | (saved)     | 1.3392   | 0.406  
98     | 5.7536     | 0.6623     | 4.4949     | 0.5301     | 0.0663     | 0.1319       | 0.2816       |             | 1.2206   | 0.413  
99     | 5.4879     | 0.6404     | 4.2866     | 0.4958     | 0.0652     | 0.1509       | 0.2736       |             | 1.3041   | 0.425  
100    | 5.7402     | 0.7048     | 4.4356     | 0.5345     | 0.0654     | 0.2036       | 0.2951       |             | 1.3467   | 0.499  
101    | 5.5180     | 0.6444     | 4.2973     | 0.5111     | 0.0652     | 0.1745       | 0.2566       |             | 1.3125   | 0.431  
102    | 5.4255     | 0.6603     | 4.2002     | 0.5042     | 0.0608     | 0.1510       | 0.2417       | (saved)     | 1.3084   | 0.393  
103    | 5.4145     | 0.6888     | 4.1749     | 0.4873     | 0.0634     | 0.1567       | 0.2428       |             | 1.2563   | 0.400  
104    | 5.5709     | 0.6836     | 4.3408     | 0.4831     | 0.0634     | 0.1565       | 0.2780       |             | 1.3002   | 0.435  
105    | 5.6308     | 0.6812     | 4.3788     | 0.5074     | 0.0635     | 0.1699       | 0.2748       |             | 1.2797   | 0.445  
106    | 5.8582     | 0.7052     | 4.5870     | 0.5038     | 0.0622     | 0.1904       | 0.2930       |             | 1.3109   | 0.483  
107    | 5.8363     | 0.7109     | 4.5484     | 0.5116     | 0.0654     | 0.1742       | 0.2660       |             | 1.3042   | 0.440  
108    | 5.8329     | 0.7506     | 4.5096     | 0.5100     | 0.0626     | 0.1696       | 0.2708       |             | 1.3060   | 0.440  
109    | 5.8670     | 0.7465     | 4.5499     | 0.5046     | 0.0660     | 0.2025       | 0.2711       |             | 1.2374   | 0.474  
110    | 6.0681     | 0.7179     | 4.7343     | 0.5449     | 0.0709     | 0.1849       | 0.2855       |             | 1.3512   | 0.470  
111    | 6.1960     | 0.7465     | 4.8531     | 0.5251     | 0.0712     | 0.1763       | 0.2959       |             | 1.3903   | 0.472  
112    | 6.0120     | 0.7678     | 4.6569     | 0.5200     | 0.0674     | 0.1612       | 0.3064       |             | 1.3906   | 0.468  
113    | 5.7246     | 0.7092     | 4.4844     | 0.4636     | 0.0673     | 0.1637       | 0.2782       |             | 1.3860   | 0.442  
114    | 5.8780     | 0.7102     | 4.5896     | 0.5100     | 0.0683     | 0.1943       | 0.2489       |             | 1.4419   | 0.443  
115    | 5.6797     | 0.6658     | 4.4679     | 0.4781     | 0.0679     | 0.1752       | 0.2461       |             | 1.4640   | 0.421  
116    | 5.6799     | 0.6323     | 4.4953     | 0.4845     | 0.0677     | 0.1582       | 0.2603       |             | 1.4258   | 0.419  
117    | 5.5655     | 0.6537     | 4.3673     | 0.4783     | 0.0663     | 0.1824       | 0.2794       |             | 1.3713   | 0.462  
118    | 5.8211     | 0.7275     | 4.5143     | 0.5101     | 0.0692     | 0.1562       | 0.3126       |             | 1.4098   | 0.469  
119    | 5.9893     | 0.6774     | 4.7333     | 0.5149     | 0.0637     | 0.1779       | 0.3233       |             | 1.3704   | 0.501  
120    | 6.2910     | 0.7695     | 4.9141     | 0.5357     | 0.0717     | 0.2093       | 0.3273       |             | 1.3571   | 0.537  
121    | 6.1209     | 0.6847     | 4.8416     | 0.5247     | 0.0700     | 0.1636       | 0.3127       |             | 1.3353   | 0.476  
122    | 6.0668     | 0.7489     | 4.7570     | 0.4958     | 0.0651     | 0.2083       | 0.2994       |             | 1.3821   | 0.508  
123    | 5.8341     | 0.6588     | 4.6169     | 0.4982     | 0.0602     | 0.1961       | 0.3274       |             | 1.3745   | 0.523  
124    | 6.0403     | 0.7401     | 4.7546     | 0.4843     | 0.0614     | 0.1796       | 0.3041       |             | 1.3325   | 0.484  
125    | 5.8722     | 0.6484     | 4.6771     | 0.4802     | 0.0665     | 0.1974       | 0.2782       |             | 1.4927   | 0.476  
126    | 5.8598     | 0.6721     | 4.6491     | 0.4748     | 0.0639     | 0.1701       | 0.2619       |             | 1.5069   | 0.432  
127    | 5.6438     | 0.6359     | 4.4903     | 0.4533     | 0.0644     | 0.2242       | 0.2885       |             | 1.4552   | 0.513  
128    | 5.7621     | 0.6641     | 4.5508     | 0.4793     | 0.0680     | 0.1735       | 0.2816       |             | 1.4432   | 0.455  
129    | 5.7065     | 0.6983     | 4.4785     | 0.4581     | 0.0716     | 0.2214       | 0.3068       |             | 1.4876   | 0.528  
130    | 5.6445     | 0.7163     | 4.4012     | 0.4555     | 0.0715     | 0.1466       | 0.2711       |             | 1.4438   | 0.418  
131    | 5.6774     | 0.7135     | 4.4363     | 0.4553     | 0.0723     | 0.1286       | 0.2458       | (saved)     | 1.4180   | 0.374  
132    | 5.6958     | 0.6688     | 4.4850     | 0.4692     | 0.0729     | 0.1869       | 0.2881       |             | 1.4340   | 0.475  
133    | 5.6712     | 0.6794     | 4.4375     | 0.4774     | 0.0768     | 0.1489       | 0.2985       |             | 1.3596   | 0.447  
134    | 5.6348     | 0.7094     | 4.3765     | 0.4743     | 0.0746     | 0.1828       | 0.3021       |             | 1.4252   | 0.485  
135    | 5.6562     | 0.6741     | 4.4515     | 0.4621     | 0.0685     | 0.1448       | 0.3086       |             | 1.4157   | 0.453  
136    | 5.7587     | 0.7066     | 4.5088     | 0.4720     | 0.0714     | 0.2237       | 0.2781       |             | 1.5707   | 0.502  
137    | 5.6776     | 0.6264     | 4.4815     | 0.4984     | 0.0713     | 0.1236       | 0.2714       |             | 1.4979   | 0.395  
138    | 5.6061     | 0.6122     | 4.4405     | 0.4811     | 0.0723     | 0.1291       | 0.2634       |             | 1.4077   | 0.393  
139    | 5.5967     | 0.6446     | 4.4137     | 0.4668     | 0.0716     | 0.1380       | 0.2902       |             | 1.3391   | 0.428  
140    | 5.7611     | 0.6980     | 4.5153     | 0.4721     | 0.0756     | 0.1804       | 0.2724       |             | 1.2814   | 0.453  
141    | 5.7406     | 0.6875     | 4.5233     | 0.4535     | 0.0763     | 0.2073       | 0.2603       |             | 1.4895   | 0.468  
142    | 5.8115     | 0.7494     | 4.5208     | 0.4608     | 0.0804     | 0.1915       | 0.3348       |             | 1.3219   | 0.526  
