Mode: Fusion | Features: RSSI(4) + RTT(3)
Model Input Dimension: 7
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
67     | 6.1261     | 0.5810     | 4.9175     | 0.5349     | 0.0928     | 0.0870       | 0.2747       |             | 0.8717   | 0.362  
68     | 5.9466     | 0.5706     | 4.7752     | 0.5144     | 0.0864     | 0.1123       | 0.2226       | (saved)     | 0.8449   | 0.335  
69     | 6.1052     | 0.6162     | 4.8971     | 0.5011     | 0.0908     | 0.1136       | 0.2440       |             | 0.8832   | 0.358  
70     | 5.7832     | 0.5941     | 4.6021     | 0.4953     | 0.0917     | 0.1409       | 0.2258       |             | 0.8263   | 0.367  
71     | 5.7053     | 0.5393     | 4.5923     | 0.4857     | 0.0881     | 0.0760       | 0.2713       |             | 0.9138   | 0.347  
72     | 5.8101     | 0.5538     | 4.6937     | 0.4775     | 0.0851     | 0.1029       | 0.2374       |             | 0.8739   | 0.340  
73     | 5.7946     | 0.5178     | 4.6926     | 0.4957     | 0.0885     | 0.1080       | 0.2389       |             | 0.8529   | 0.347  
74     | 5.5798     | 0.5149     | 4.4888     | 0.4879     | 0.0882     | 0.1024       | 0.2289       | (saved)     | 0.8793   | 0.331  
75     | 5.3085     | 0.4660     | 4.3054     | 0.4506     | 0.0865     | 0.1131       | 0.1958       | (saved)     | 0.9067   | 0.309  
76     | 5.3175     | 0.4593     | 4.3371     | 0.4370     | 0.0841     | 0.1387       | 0.2371       |             | 0.8481   | 0.376  
77     | 5.4332     | 0.5045     | 4.4155     | 0.4300     | 0.0832     | 0.1113       | 0.1827       | (saved)     | 0.8492   | 0.294  
78     | 5.5648     | 0.4957     | 4.5550     | 0.4280     | 0.0860     | 0.0795       | 0.2122       | (saved)     | 0.8573   | 0.292  
79     | 5.6412     | 0.4956     | 4.5979     | 0.4602     | 0.0875     | 0.1110       | 0.1891       |             | 0.8725   | 0.300  
80     | 5.6411     | 0.5162     | 4.5785     | 0.4596     | 0.0869     | 0.0826       | 0.1973       | (saved)     | 0.8936   | 0.280  
81     | 5.4341     | 0.4710     | 4.4593     | 0.4195     | 0.0843     | 0.0937       | 0.1913       |             | 0.9189   | 0.285  
82     | 5.5193     | 0.5068     | 4.4844     | 0.4441     | 0.0840     | 0.0906       | 0.1775       | (saved)     | 0.8599   | 0.268  
83     | 5.5336     | 0.4882     | 4.5532     | 0.4093     | 0.0828     | 0.1110       | 0.1479       | (saved)     | 0.9019   | 0.259  
84     | 5.6395     | 0.5293     | 4.6105     | 0.4194     | 0.0802     | 0.1057       | 0.1837       |             | 0.8948   | 0.289  
85     | 5.6549     | 0.5209     | 4.6340     | 0.4176     | 0.0825     | 0.1075       | 0.2163       |             | 0.8642   | 0.324  
86     | 5.6027     | 0.5084     | 4.5836     | 0.4265     | 0.0843     | 0.1145       | 0.2464       |             | 0.9207   | 0.361  
87     | 5.7478     | 0.5235     | 4.7117     | 0.4258     | 0.0870     | 0.1120       | 0.2032       |             | 0.8101   | 0.315  
88     | 5.4398     | 0.5002     | 4.4456     | 0.4087     | 0.0854     | 0.1024       | 0.1593       |             | 0.8469   | 0.262  
89     | 5.3845     | 0.4730     | 4.4322     | 0.3957     | 0.0836     | 0.1095       | 0.1626       |             | 0.8464   | 0.272  
90     | 5.6025     | 0.5004     | 4.5939     | 0.4243     | 0.0840     | 0.1043       | 0.2055       |             | 0.9230   | 0.310  
91     | 5.6064     | 0.4711     | 4.6004     | 0.4466     | 0.0883     | 0.1348       | 0.1956       |             | 0.8768   | 0.330  
92     | 5.6902     | 0.5305     | 4.6648     | 0.4068     | 0.0882     | 0.1039       | 0.2026       |             | 0.8759   | 0.307  
93     | 5.3743     | 0.4570     | 4.4372     | 0.3953     | 0.0848     | 0.0867       | 0.1590       | (saved)     | 0.8630   | 0.246  
94     | 5.3192     | 0.4132     | 4.4184     | 0.4032     | 0.0843     | 0.1073       | 0.1673       |             | 0.8639   | 0.275  
95     | 5.4491     | 0.4528     | 4.5131     | 0.3953     | 0.0879     | 0.1049       | 0.1671       |             | 0.8708   | 0.272  
96     | 5.2109     | 0.4365     | 4.3180     | 0.3727     | 0.0837     | 0.0947       | 0.1551       |             | 0.8509   | 0.250  
97     | 5.2747     | 0.4485     | 4.3536     | 0.3886     | 0.0839     | 0.1147       | 0.1294       | (saved)     | 0.8597   | 0.244  
98     | 5.3474     | 0.4507     | 4.4389     | 0.3717     | 0.0862     | 0.1167       | 0.1397       |             | 0.8495   | 0.256  
99     | 5.2564     | 0.4571     | 4.3597     | 0.3545     | 0.0851     | 0.1043       | 0.1128       | (saved)     | 0.8618   | 0.217  
100    | 5.2403     | 0.4338     | 4.3455     | 0.3742     | 0.0868     | 0.1000       | 0.1123       | (saved)     | 0.8075   | 0.212  
101    | 5.1252     | 0.4612     | 4.2307     | 0.3480     | 0.0853     | 0.0872       | 0.1159       | (saved)     | 0.8338   | 0.203  
102    | 5.1932     | 0.4731     | 4.2784     | 0.3551     | 0.0866     | 0.0988       | 0.1597       |             | 0.8527   | 0.259  
103    | 5.3227     | 0.4729     | 4.3874     | 0.3701     | 0.0922     | 0.0960       | 0.1252       |             | 0.8724   | 0.221  
104    | 5.1812     | 0.4431     | 4.2833     | 0.3631     | 0.0918     | 0.0783       | 0.1532       |             | 0.8776   | 0.231  
105    | 5.3261     | 0.4318     | 4.4311     | 0.3711     | 0.0921     | 0.0812       | 0.1393       |             | 0.8645   | 0.221  
106    | 5.1922     | 0.4476     | 4.3039     | 0.3502     | 0.0904     | 0.0934       | 0.1604       |             | 0.8288   | 0.254  
107    | 5.2295     | 0.4602     | 4.3136     | 0.3621     | 0.0936     | 0.0753       | 0.1122       | (saved)     | 0.8339   | 0.188  
108    | 5.1185     | 0.4138     | 4.2762     | 0.3408     | 0.0878     | 0.1067       | 0.1099       |             | 0.8034   | 0.217  
109    | 5.1827     | 0.4241     | 4.3257     | 0.3422     | 0.0906     | 0.0944       | 0.1187       |             | 0.8301   | 0.213  
110    | 5.4295     | 0.4604     | 4.5246     | 0.3545     | 0.0901     | 0.1021       | 0.1235       |             | 0.8114   | 0.226  
111    | 5.1539     | 0.4080     | 4.3129     | 0.3434     | 0.0896     | 0.0838       | 0.1222       |             | 0.8178   | 0.206  
112    | 5.1818     | 0.4455     | 4.2969     | 0.3492     | 0.0902     | 0.0859       | 0.1560       |             | 0.8227   | 0.242  
113    | 5.2335     | 0.3943     | 4.3982     | 0.3501     | 0.0910     | 0.1046       | 0.1497       |             | 0.8319   | 0.254  
114    | 5.2604     | 0.3966     | 4.4207     | 0.3496     | 0.0935     | 0.0783       | 0.1313       |             | 0.8600   | 0.210  
115    | 5.2040     | 0.4598     | 4.3072     | 0.3436     | 0.0934     | 0.0896       | 0.1209       |             | 0.8633   | 0.211  
116    | 5.1972     | 0.4268     | 4.3304     | 0.3461     | 0.0940     | 0.0954       | 0.1415       |             | 0.8565   | 0.237  
117    | 5.2674     | 0.4382     | 4.3861     | 0.3496     | 0.0934     | 0.1049       | 0.1211       |             | 0.8496   | 0.226  
118    | 5.2487     | 0.4352     | 4.3885     | 0.3336     | 0.0914     | 0.1283       | 0.1030       |             | 0.8228   | 0.231  
119    | 5.0907     | 0.3660     | 4.3081     | 0.3297     | 0.0868     | 0.1109       | 0.1246       |             | 0.8453   | 0.235  
120    | 5.1302     | 0.3866     | 4.3158     | 0.3366     | 0.0912     | 0.1455       | 0.1268       |             | 0.8302   | 0.272  
121    | 5.1688     | 0.4288     | 4.3233     | 0.3263     | 0.0903     | 0.0881       | 0.1383       |             | 0.8277   | 0.226  
122    | 5.1354     | 0.4301     | 4.2783     | 0.3386     | 0.0883     | 0.1191       | 0.1324       |             | 0.8307   | 0.251  
123    | 5.1412     | 0.4280     | 4.2743     | 0.3474     | 0.0915     | 0.1513       | 0.1072       |             | 0.8434   | 0.258  
124    | 5.1150     | 0.4569     | 4.2454     | 0.3228     | 0.0900     | 0.1165       | 0.0908       |             | 0.8173   | 0.207  
125    | 5.0061     | 0.3581     | 4.2338     | 0.3235     | 0.0908     | 0.0958       | 0.1144       |             | 0.8240   | 0.210  
126    | 5.1000     | 0.4329     | 4.2506     | 0.3292     | 0.0873     | 0.1002       | 0.1250       |             | 0.8438   | 0.225  
127    | 5.0455     | 0.3991     | 4.2516     | 0.3079     | 0.0868     | 0.0808       | 0.1113       |             | 0.8190   | 0.192  
128    | 5.0589     | 0.4188     | 4.2205     | 0.3292     | 0.0904     | 0.0998       | 0.1153       |             | 0.8185   | 0.215  
129    | 4.8904     | 0.3820     | 4.1160     | 0.3035     | 0.0889     | 0.1192       | 0.1212       |             | 0.8251   | 0.240  
130    | 4.9035     | 0.3770     | 4.1258     | 0.3096     | 0.0911     | 0.1022       | 0.1147       |             | 0.8181   | 0.217  
131    | 5.0801     | 0.4082     | 4.2664     | 0.3133     | 0.0922     | 0.0887       | 0.1309       |             | 0.8247   | 0.220  
132    | 5.2755     | 0.4656     | 4.4009     | 0.3166     | 0.0924     | 0.1006       | 0.1045       |             | 0.8281   | 0.205  
133    | 5.2520     | 0.4502     | 4.3971     | 0.3130     | 0.0917     | 0.0997       | 0.1177       |             | 0.8226   | 0.217  
134    | 5.0237     | 0.3942     | 4.2336     | 0.3050     | 0.0909     | 0.1049       | 0.1189       |             | 0.8289   | 0.224  
135    | 5.2074     | 0.4352     | 4.3536     | 0.3238     | 0.0948     | 0.1147       | 0.1056       |             | 0.8156   | 0.220  
136    | 5.1946     | 0.4412     | 4.3415     | 0.3187     | 0.0933     | 0.1041       | 0.1015       |             | 0.8074   | 0.206  
137    | 5.0912     | 0.3858     | 4.3103     | 0.3053     | 0.0899     | 0.1111       | 0.1220       |             | 0.8125   | 0.233  
138    | 5.0300     | 0.3909     | 4.2395     | 0.3089     | 0.0908     | 0.1013       | 0.1131       |             | 0.8203   | 0.214  
