Mode: Fusion | Features: RSSI(4) + RTT(1)
Model Input Dimension: 5
cuda
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
66     | 5.6546     | 0.7241     | 4.1880     | 0.6430     | 0.0994     | 0.2189       | 0.4772       |             | 1.6544   | 0.696  
67     | 5.7566     | 0.7178     | 4.3095     | 0.6311     | 0.0982     | 0.1673       | 0.4541       | (saved)     | 1.6563   | 0.621  
68     | 6.1946     | 0.7699     | 4.6795     | 0.6485     | 0.0967     | 0.2026       | 0.4746       |             | 1.5963   | 0.677  
69     | 6.3722     | 0.8158     | 4.8038     | 0.6556     | 0.0970     | 0.1873       | 0.4567       |             | 1.5468   | 0.644  
70     | 6.3855     | 0.7636     | 4.8525     | 0.6737     | 0.0957     | 0.1962       | 0.4876       |             | 1.5383   | 0.684  
71     | 6.3829     | 0.7230     | 4.8831     | 0.6830     | 0.0938     | 0.2564       | 0.4404       |             | 1.4682   | 0.697  
72     | 6.3983     | 0.7718     | 4.8701     | 0.6644     | 0.0920     | 0.2101       | 0.4509       |             | 1.4762   | 0.661  
73     | 6.4523     | 0.7085     | 4.9841     | 0.6693     | 0.0905     | 0.1930       | 0.4288       |             | 1.5008   | 0.622  
74     | 6.3803     | 0.7813     | 4.8437     | 0.6684     | 0.0868     | 0.2211       | 0.4747       |             | 1.6036   | 0.696  
75     | 6.3142     | 0.7613     | 4.8198     | 0.6468     | 0.0863     | 0.1883       | 0.4337       |             | 1.5027   | 0.622  
76     | 6.2037     | 0.7771     | 4.6938     | 0.6446     | 0.0882     | 0.1560       | 0.4949       |             | 1.4679   | 0.651  
77     | 5.9391     | 0.7226     | 4.5305     | 0.6013     | 0.0846     | 0.1927       | 0.4371       |             | 1.5243   | 0.630  
78     | 6.0306     | 0.7502     | 4.6043     | 0.5936     | 0.0824     | 0.2173       | 0.4158       |             | 1.5955   | 0.633  
79     | 6.0280     | 0.7340     | 4.6415     | 0.5727     | 0.0798     | 0.1968       | 0.4002       | (saved)     | 1.4946   | 0.597  
80     | 6.2820     | 0.7461     | 4.8522     | 0.6025     | 0.0812     | 0.2075       | 0.4582       |             | 1.5566   | 0.666  
81     | 6.5009     | 0.7716     | 4.9945     | 0.6514     | 0.0834     | 0.2316       | 0.4587       |             | 1.5126   | 0.690  
82     | 6.5595     | 0.7444     | 5.1022     | 0.6292     | 0.0837     | 0.1537       | 0.4434       |             | 1.5680   | 0.597  
83     | 6.9196     | 0.8306     | 5.3478     | 0.6551     | 0.0862     | 0.1861       | 0.4646       |             | 1.5100   | 0.651  
84     | 6.5833     | 0.8028     | 5.0677     | 0.6313     | 0.0814     | 0.1662       | 0.4408       |             | 1.4903   | 0.607  
85     | 6.4649     | 0.7424     | 5.0284     | 0.6143     | 0.0799     | 0.1463       | 0.4221       | (saved)     | 1.6819   | 0.568  
86     | 6.6991     | 0.7729     | 5.2312     | 0.6154     | 0.0796     | 0.2237       | 0.3967       |             | 1.5380   | 0.620  
87     | 6.6038     | 0.7155     | 5.1955     | 0.6175     | 0.0753     | 0.1650       | 0.4482       |             | 1.5514   | 0.613  
88     | 6.4046     | 0.6989     | 5.0210     | 0.6047     | 0.0801     | 0.1604       | 0.4652       |             | 1.5758   | 0.626  
89     | 6.2735     | 0.7289     | 4.8625     | 0.6069     | 0.0752     | 0.1812       | 0.4005       |             | 1.5596   | 0.582  
90     | 6.3361     | 0.7187     | 4.9375     | 0.6022     | 0.0777     | 0.2101       | 0.3784       |             | 1.6506   | 0.589  
91     | 6.0723     | 0.7024     | 4.7472     | 0.5496     | 0.0732     | 0.1603       | 0.3671       | (saved)     | 1.5079   | 0.527  
92     | 6.0933     | 0.6682     | 4.8082     | 0.5414     | 0.0755     | 0.1851       | 0.3781       |             | 1.5051   | 0.563  
93     | 6.2249     | 0.6968     | 4.8802     | 0.5722     | 0.0758     | 0.1783       | 0.3614       |             | 1.5938   | 0.540  
94     | 6.0422     | 0.6791     | 4.7520     | 0.5366     | 0.0745     | 0.2307       | 0.3777       |             | 1.4914   | 0.608  
95     | 6.1074     | 0.7196     | 4.7614     | 0.5518     | 0.0746     | 0.1495       | 0.3649       | (saved)     | 1.5635   | 0.514  
96     | 5.8654     | 0.6100     | 4.6525     | 0.5309     | 0.0719     | 0.1721       | 0.3303       | (saved)     | 1.5945   | 0.502  
97     | 5.9192     | 0.6727     | 4.6608     | 0.5180     | 0.0677     | 0.1690       | 0.3138       | (saved)     | 1.5476   | 0.483  
98     | 5.9476     | 0.6934     | 4.6841     | 0.5032     | 0.0669     | 0.1832       | 0.3032       |             | 1.5170   | 0.486  
99     | 6.0316     | 0.6890     | 4.7587     | 0.5160     | 0.0679     | 0.1859       | 0.3122       |             | 1.5178   | 0.498  
100    | 6.0137     | 0.6745     | 4.7327     | 0.5375     | 0.0690     | 0.2030       | 0.3492       |             | 1.5506   | 0.552  
101    | 6.0899     | 0.6793     | 4.8217     | 0.5214     | 0.0675     | 0.1558       | 0.3376       |             | 1.5031   | 0.493  
102    | 6.1464     | 0.6723     | 4.8643     | 0.5419     | 0.0678     | 0.1731       | 0.3346       |             | 1.5852   | 0.508  
103    | 6.0685     | 0.6842     | 4.7765     | 0.5378     | 0.0700     | 0.1943       | 0.3573       |             | 1.6174   | 0.552  
104    | 6.1036     | 0.6786     | 4.8155     | 0.5392     | 0.0703     | 0.2033       | 0.3614       |             | 1.4570   | 0.565  
105    | 5.7829     | 0.6727     | 4.5476     | 0.4943     | 0.0684     | 0.1788       | 0.3237       |             | 1.4881   | 0.502  
106    | 5.8706     | 0.6676     | 4.6342     | 0.4992     | 0.0696     | 0.1738       | 0.3111       |             | 1.4813   | 0.485  
107    | 5.7932     | 0.6680     | 4.5549     | 0.5003     | 0.0700     | 0.1567       | 0.3064       | (saved)     | 1.4944   | 0.463  
108    | 5.9060     | 0.6397     | 4.6900     | 0.5081     | 0.0682     | 0.1736       | 0.3274       |             | 1.5588   | 0.501  
109    | 5.8535     | 0.6870     | 4.5972     | 0.4986     | 0.0707     | 0.1530       | 0.3066       | (saved)     | 1.5242   | 0.460  
110    | 5.7206     | 0.6050     | 4.5377     | 0.5066     | 0.0714     | 0.1520       | 0.3474       |             | 1.5648   | 0.499  
111    | 5.7131     | 0.6317     | 4.5301     | 0.4832     | 0.0680     | 0.2082       | 0.3221       |             | 1.4906   | 0.530  
112    | 5.9317     | 0.7130     | 4.6546     | 0.4927     | 0.0714     | 0.1480       | 0.3394       |             | 1.4841   | 0.487  
113    | 6.0796     | 0.7129     | 4.8168     | 0.4800     | 0.0700     | 0.1951       | 0.2991       |             | 1.5029   | 0.494  
114    | 6.1279     | 0.7051     | 4.8414     | 0.5116     | 0.0697     | 0.1380       | 0.3280       |             | 1.4086   | 0.466  
115    | 6.1458     | 0.6841     | 4.8806     | 0.5169     | 0.0642     | 0.1555       | 0.3499       |             | 1.5193   | 0.505  
116    | 6.0726     | 0.6478     | 4.8804     | 0.4821     | 0.0623     | 0.1990       | 0.3439       |             | 1.4900   | 0.543  
117    | 6.1810     | 0.6722     | 4.9315     | 0.5079     | 0.0694     | 0.1808       | 0.3415       |             | 1.4183   | 0.522  
118    | 6.1086     | 0.6766     | 4.8746     | 0.4903     | 0.0672     | 0.1603       | 0.3273       |             | 1.4643   | 0.488  
119    | 5.8797     | 0.6267     | 4.7014     | 0.4889     | 0.0627     | 0.1820       | 0.2909       |             | 1.5492   | 0.473  
120    | 5.9978     | 0.6882     | 4.7683     | 0.4780     | 0.0633     | 0.1649       | 0.3167       |             | 1.3601   | 0.482  
121    | 6.1168     | 0.6625     | 4.9105     | 0.4815     | 0.0623     | 0.1404       | 0.3049       | (saved)     | 1.3720   | 0.445  
122    | 6.1335     | 0.7488     | 4.8381     | 0.4838     | 0.0628     | 0.1402       | 0.3440       |             | 1.4018   | 0.484  
123    | 6.0394     | 0.6441     | 4.8446     | 0.4900     | 0.0607     | 0.1363       | 0.3252       |             | 1.4471   | 0.462  
124    | 5.9362     | 0.7147     | 4.6653     | 0.4951     | 0.0611     | 0.1799       | 0.3147       |             | 1.4712   | 0.495  
125    | 5.7621     | 0.5946     | 4.6351     | 0.4740     | 0.0584     | 0.1476       | 0.2810       | (saved)     | 1.3628   | 0.429  
126    | 5.8616     | 0.6576     | 4.6675     | 0.4773     | 0.0591     | 0.1357       | 0.2976       |             | 1.3712   | 0.433  
127    | 5.9924     | 0.6459     | 4.8164     | 0.4703     | 0.0598     | 0.1821       | 0.2990       |             | 1.3171   | 0.481  
128    | 6.0414     | 0.6303     | 4.8582     | 0.4931     | 0.0599     | 0.1575       | 0.2975       |             | 1.4400   | 0.455  
129    | 6.0176     | 0.6757     | 4.8135     | 0.4689     | 0.0595     | 0.1567       | 0.3322       |             | 1.4195   | 0.489  
130    | 6.0110     | 0.6863     | 4.7847     | 0.4775     | 0.0625     | 0.1219       | 0.3149       |             | 1.5357   | 0.437  
131    | 5.9977     | 0.7278     | 4.7132     | 0.4938     | 0.0628     | 0.1545       | 0.3346       |             | 1.4901   | 0.489  
132    | 5.7647     | 0.6439     | 4.5973     | 0.4643     | 0.0593     | 0.2013       | 0.2919       |             | 1.4149   | 0.493  
133    | 5.9481     | 0.6600     | 4.7488     | 0.4770     | 0.0622     | 0.2179       | 0.2577       |             | 1.4077   | 0.476  
134    | 5.8370     | 0.6619     | 4.6593     | 0.4530     | 0.0627     | 0.1606       | 0.2896       |             | 1.4629   | 0.450  
135    | 5.7504     | 0.6062     | 4.6272     | 0.4578     | 0.0593     | 0.1700       | 0.2982       |             | 1.4230   | 0.468  
