Mode: Fusion | Features: RSSI(4) + RTT(2)
Model Input Dimension: 6
cuda
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
86     | 5.8743     | 0.5975     | 4.6516     | 0.5379     | 0.0873     | 0.1489       | 0.3110       |             | 1.1141   | 0.460  
87     | 5.6472     | 0.5644     | 4.4844     | 0.5139     | 0.0845     | 0.1518       | 0.3203       |             | 1.1570   | 0.472  
88     | 5.8892     | 0.6701     | 4.6327     | 0.4971     | 0.0893     | 0.1772       | 0.2736       |             | 1.1731   | 0.451  
89     | 5.7958     | 0.6703     | 4.5366     | 0.5027     | 0.0863     | 0.1650       | 0.3075       |             | 1.1738   | 0.472  
90     | 5.7713     | 0.6035     | 4.5750     | 0.5083     | 0.0846     | 0.1763       | 0.3036       |             | 1.1266   | 0.480  
91     | 5.7055     | 0.6131     | 4.4982     | 0.5082     | 0.0861     | 0.1587       | 0.2896       |             | 1.1876   | 0.448  
92     | 5.8430     | 0.6099     | 4.6373     | 0.5108     | 0.0850     | 0.1669       | 0.3262       |             | 1.1248   | 0.493  
93     | 5.8211     | 0.6397     | 4.6166     | 0.4797     | 0.0852     | 0.2102       | 0.2946       |             | 1.2472   | 0.505  
94     | 5.8513     | 0.6432     | 4.6097     | 0.5094     | 0.0890     | 0.1966       | 0.2889       |             | 1.2389   | 0.486  
95     | 6.1562     | 0.6977     | 4.8319     | 0.5328     | 0.0938     | 0.1830       | 0.2950       |             | 1.1777   | 0.478  
96     | 6.0176     | 0.6563     | 4.7607     | 0.5120     | 0.0887     | 0.2328       | 0.3209       |             | 1.1907   | 0.554  
97     | 6.0346     | 0.6601     | 4.7643     | 0.5200     | 0.0901     | 0.2216       | 0.2909       |             | 1.1627   | 0.512  
98     | 6.0090     | 0.6220     | 4.7884     | 0.5058     | 0.0928     | 0.2270       | 0.3269       |             | 1.1779   | 0.554  
99     | 6.3194     | 0.6859     | 4.9932     | 0.5438     | 0.0966     | 0.2648       | 0.3217       |             | 1.1682   | 0.587  
100    | 6.1814     | 0.6637     | 4.8724     | 0.5453     | 0.1000     | 0.2713       | 0.2738       |             | 1.1538   | 0.545  
101    | 5.8729     | 0.6789     | 4.6067     | 0.4900     | 0.0974     | 0.2310       | 0.2915       |             | 1.0762   | 0.522  
102    | 5.5438     | 0.6035     | 4.3856     | 0.4642     | 0.0905     | 0.2262       | 0.2562       |             | 1.1422   | 0.482  
103    | 5.6538     | 0.6476     | 4.4452     | 0.4744     | 0.0866     | 0.2009       | 0.2857       |             | 1.1371   | 0.487  
104    | 5.6342     | 0.6417     | 4.4358     | 0.4668     | 0.0899     | 0.1899       | 0.3146       |             | 1.1036   | 0.504  
105    | 5.7807     | 0.6741     | 4.5439     | 0.4746     | 0.0880     | 0.2005       | 0.3585       |             | 1.1611   | 0.559  
106    | 5.9150     | 0.6407     | 4.6801     | 0.5047     | 0.0895     | 0.1998       | 0.3744       |             | 1.2457   | 0.574  
107    | 5.9856     | 0.6267     | 4.7744     | 0.4909     | 0.0936     | 0.2367       | 0.3223       |             | 1.2777   | 0.559  
108    | 6.1432     | 0.6948     | 4.8642     | 0.4910     | 0.0932     | 0.1850       | 0.3093       |             | 1.1999   | 0.494  
109    | 5.8842     | 0.6742     | 4.6522     | 0.4659     | 0.0919     | 0.2124       | 0.2871       |             | 1.2554   | 0.500  
110    | 5.6050     | 0.6221     | 4.4319     | 0.4578     | 0.0931     | 0.2017       | 0.3012       |             | 1.2826   | 0.503  
111    | 5.7033     | 0.6345     | 4.5324     | 0.4474     | 0.0890     | 0.2352       | 0.2968       |             | 1.2723   | 0.532  
112    | 5.7670     | 0.6595     | 4.5640     | 0.4520     | 0.0915     | 0.2190       | 0.2683       |             | 1.2873   | 0.487  
113    | 5.5961     | 0.6106     | 4.4496     | 0.4454     | 0.0905     | 0.1841       | 0.2763       |             | 1.2528   | 0.460  
114    | 5.5427     | 0.6030     | 4.3980     | 0.4478     | 0.0939     | 0.2045       | 0.3107       |             | 1.3090   | 0.515  
115    | 5.4340     | 0.5944     | 4.3117     | 0.4392     | 0.0887     | 0.2065       | 0.2862       |             | 1.2674   | 0.493  
116    | 5.5323     | 0.5628     | 4.4555     | 0.4239     | 0.0900     | 0.2214       | 0.2663       |             | 1.2311   | 0.488  
117    | 5.6196     | 0.5917     | 4.4847     | 0.4478     | 0.0954     | 0.2314       | 0.2539       |             | 1.1936   | 0.485  
118    | 5.5968     | 0.5901     | 4.4684     | 0.4474     | 0.0909     | 0.2530       | 0.2870       |             | 1.1517   | 0.540  
119    | 5.5848     | 0.6249     | 4.4239     | 0.4444     | 0.0916     | 0.1806       | 0.2895       |             | 1.0919   | 0.470  
120    | 5.6277     | 0.5909     | 4.4902     | 0.4500     | 0.0967     | 0.2327       | 0.2612       |             | 1.2028   | 0.494  
121    | 5.3804     | 0.5572     | 4.3028     | 0.4273     | 0.0931     | 0.1975       | 0.2360       | (saved)     | 1.0930   | 0.434  
122    | 5.3396     | 0.5102     | 4.3094     | 0.4297     | 0.0903     | 0.2220       | 0.2576       |             | 1.2666   | 0.480  
123    | 5.5350     | 0.5734     | 4.4306     | 0.4382     | 0.0928     | 0.2051       | 0.2795       |             | 1.1272   | 0.485  
124    | 5.8870     | 0.6153     | 4.7194     | 0.4596     | 0.0927     | 0.2368       | 0.2665       |             | 1.2358   | 0.503  
125    | 5.7917     | 0.5863     | 4.6704     | 0.4400     | 0.0949     | 0.2018       | 0.2515       |             | 1.1948   | 0.453  
126    | 5.6586     | 0.5746     | 4.5403     | 0.4492     | 0.0946     | 0.1990       | 0.2598       |             | 1.1805   | 0.459  
127    | 5.4785     | 0.5476     | 4.4044     | 0.4345     | 0.0919     | 0.1997       | 0.2620       |             | 1.2887   | 0.462  
128    | 5.7330     | 0.5653     | 4.6141     | 0.4612     | 0.0925     | 0.1910       | 0.2771       |             | 1.2836   | 0.468  
129    | 5.7492     | 0.5827     | 4.6429     | 0.4346     | 0.0891     | 0.2044       | 0.2354       |             | 1.2386   | 0.440  
130    | 5.4470     | 0.5886     | 4.3498     | 0.4198     | 0.0888     | 0.1921       | 0.2312       | (saved)     | 1.2570   | 0.423  
131    | 5.4371     | 0.5857     | 4.3507     | 0.4117     | 0.0890     | 0.1975       | 0.2361       |             | 1.2052   | 0.434  
132    | 5.5150     | 0.5662     | 4.4372     | 0.4199     | 0.0917     | 0.1853       | 0.2288       | (saved)     | 1.1802   | 0.414  
133    | 5.2881     | 0.4788     | 4.3091     | 0.4107     | 0.0896     | 0.1811       | 0.2928       |             | 1.2243   | 0.474  
134    | 5.5857     | 0.5915     | 4.4838     | 0.4171     | 0.0934     | 0.1935       | 0.2357       |             | 1.2525   | 0.429  
135    | 5.5988     | 0.6376     | 4.4556     | 0.4096     | 0.0961     | 0.1746       | 0.2507       |             | 1.1718   | 0.425  
136    | 5.5716     | 0.5406     | 4.5077     | 0.4313     | 0.0919     | 0.1967       | 0.2581       |             | 1.1564   | 0.455  
137    | 5.5771     | 0.5817     | 4.4716     | 0.4297     | 0.0941     | 0.1848       | 0.2792       |             | 1.1913   | 0.464  
138    | 5.6136     | 0.5956     | 4.5107     | 0.4155     | 0.0917     | 0.1830       | 0.2749       |             | 1.1756   | 0.458  
139    | 5.5674     | 0.5253     | 4.5341     | 0.4168     | 0.0912     | 0.2147       | 0.2587       |             | 1.1757   | 0.473  
140    | 5.5348     | 0.5845     | 4.4437     | 0.4133     | 0.0933     | 0.2208       | 0.2393       |             | 1.1446   | 0.460  
141    | 5.5286     | 0.5774     | 4.4316     | 0.4275     | 0.0921     | 0.2124       | 0.2343       |             | 1.1665   | 0.447  
142    | 5.6238     | 0.5760     | 4.5332     | 0.4213     | 0.0933     | 0.2138       | 0.2208       |             | 1.2444   | 0.435  
143    | 5.6630     | 0.5352     | 4.6218     | 0.4148     | 0.0912     | 0.2177       | 0.2328       |             | 1.1650   | 0.450  
144    | 5.6887     | 0.6136     | 4.5798     | 0.4057     | 0.0896     | 0.2005       | 0.2344       |             | 1.1916   | 0.435  
145    | 5.3462     | 0.5563     | 4.3065     | 0.3941     | 0.0892     | 0.2079       | 0.2251       |             | 1.2027   | 0.433  
146    | 5.3282     | 0.5222     | 4.3239     | 0.3903     | 0.0917     | 0.2020       | 0.2162       |             | 1.2451   | 0.418  
147    | 5.1344     | 0.5078     | 4.1644     | 0.3721     | 0.0902     | 0.1778       | 0.2118       | (saved)     | 1.2153   | 0.390  
148    | 5.3038     | 0.5299     | 4.2887     | 0.3883     | 0.0970     | 0.1879       | 0.2268       |             | 1.1506   | 0.415  
149    | 5.4999     | 0.5307     | 4.4859     | 0.3913     | 0.0919     | 0.1884       | 0.1919       | (saved)     | 1.1770   | 0.380  
150    | 5.3175     | 0.4957     | 4.3326     | 0.3928     | 0.0964     | 0.2032       | 0.1962       |             | 1.1280   | 0.399  
151    | 5.2041     | 0.5240     | 4.2125     | 0.3768     | 0.0907     | 0.1834       | 0.2050       |             | 1.1752   | 0.388  
152    | 5.2183     | 0.5293     | 4.2194     | 0.3780     | 0.0916     | 0.1975       | 0.1964       |             | 1.1444   | 0.394  
153    | 5.2151     | 0.5326     | 4.2259     | 0.3682     | 0.0884     | 0.1804       | 0.1872       | (saved)     | 1.1889   | 0.368  
154    | 5.3050     | 0.5481     | 4.3118     | 0.3562     | 0.0890     | 0.1736       | 0.2232       |             | 1.2313   | 0.397  
155    | 5.1895     | 0.5111     | 4.2233     | 0.3639     | 0.0912     | 0.1689       | 0.1860       | (saved)     | 1.1677   | 0.355  
156    | 5.3350     | 0.5501     | 4.3107     | 0.3773     | 0.0969     | 0.1901       | 0.2156       |             | 1.1898   | 0.406  
157    | 5.1096     | 0.4854     | 4.1467     | 0.3784     | 0.0992     | 0.1963       | 0.2239       |             | 1.1342   | 0.420  
158    | 5.2941     | 0.5149     | 4.3067     | 0.3770     | 0.0956     | 0.1804       | 0.2018       |             | 1.2159   | 0.382  
159    | 5.3271     | 0.5072     | 4.3317     | 0.3910     | 0.0973     | 0.1813       | 0.2530       |             | 1.1723   | 0.434  
