Mode: Fusion | Features: RSSI(4) + RTT(3)
Model Input Dimension: 7
cuda
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
146    | 2.6899     | 0.4499     | 1.8075     | 0.3848     | 0.0477     | 0.1628       | 0.2061       |             | 1.2168   | 0.369  
147    | 2.5602     | 0.4324     | 1.7127     | 0.3743     | 0.0406     | 0.1027       | 0.2003       |             | 1.1960   | 0.303  
148    | 2.4257     | 0.3867     | 1.6397     | 0.3575     | 0.0417     | 0.1253       | 0.1457       |             | 1.3043   | 0.271  
149    | 2.4183     | 0.4176     | 1.6048     | 0.3584     | 0.0374     | 0.1133       | 0.1698       |             | 1.2592   | 0.283  
150    | 2.4621     | 0.3981     | 1.6536     | 0.3655     | 0.0449     | 0.1089       | 0.1327       | (saved)     | 1.3078   | 0.242  
151    | 2.4302     | 0.3974     | 1.6433     | 0.3526     | 0.0368     | 0.1005       | 0.1485       |             | 1.3053   | 0.249  
152    | 2.4394     | 0.4274     | 1.6254     | 0.3484     | 0.0382     | 0.1098       | 0.1634       |             | 1.3119   | 0.273  
153    | 2.3193     | 0.3846     | 1.5850     | 0.3196     | 0.0300     | 0.1116       | 0.1586       |             | 1.3538   | 0.270  
154    | 2.4401     | 0.4116     | 1.6519     | 0.3451     | 0.0315     | 0.1123       | 0.1468       |             | 1.2992   | 0.259  
155    | 2.3567     | 0.3746     | 1.6167     | 0.3221     | 0.0433     | 0.1410       | 0.1760       |             | 1.2861   | 0.317  
156    | 2.4149     | 0.3905     | 1.6477     | 0.3339     | 0.0428     | 0.1072       | 0.1335       | (saved)     | 1.2687   | 0.241  
157    | 2.3675     | 0.3740     | 1.6399     | 0.3173     | 0.0363     | 0.0952       | 0.1343       | (saved)     | 1.3162   | 0.230  
158    | 2.3773     | 0.3871     | 1.6447     | 0.3115     | 0.0340     | 0.1125       | 0.1293       |             | 1.2838   | 0.242  
159    | 2.3244     | 0.3458     | 1.6380     | 0.3133     | 0.0274     | 0.1201       | 0.1445       |             | 1.2840   | 0.265  
160    | 2.4743     | 0.3975     | 1.7201     | 0.3182     | 0.0385     | 0.1259       | 0.1326       |             | 1.2580   | 0.258  
161    | 2.4366     | 0.3813     | 1.6983     | 0.3233     | 0.0337     | 0.1115       | 0.1085       | (saved)     | 1.2844   | 0.220  
162    | 2.4877     | 0.4113     | 1.7250     | 0.3160     | 0.0353     | 0.1085       | 0.1593       |             | 1.1752   | 0.268  
163    | 2.5731     | 0.4027     | 1.8182     | 0.3209     | 0.0313     | 0.1056       | 0.1330       |             | 1.1753   | 0.239  
164    | 2.6224     | 0.3986     | 1.8355     | 0.3457     | 0.0427     | 0.0986       | 0.1403       |             | 1.1724   | 0.239  
165    | 2.5835     | 0.3966     | 1.8152     | 0.3336     | 0.0381     | 0.1076       | 0.1304       |             | 1.1699   | 0.238  
166    | 2.6639     | 0.4190     | 1.8558     | 0.3453     | 0.0438     | 0.1067       | 0.1739       |             | 1.1528   | 0.281  
167    | 2.6338     | 0.3761     | 1.8546     | 0.3579     | 0.0452     | 0.1057       | 0.1687       |             | 1.1267   | 0.274  
168    | 2.7853     | 0.3884     | 1.9888     | 0.3621     | 0.0460     | 0.1204       | 0.1743       |             | 1.0906   | 0.295  
169    | 2.7719     | 0.4066     | 1.9870     | 0.3365     | 0.0419     | 0.1084       | 0.1355       |             | 1.0582   | 0.244  
170    | 2.7109     | 0.3857     | 1.9658     | 0.3178     | 0.0416     | 0.0845       | 0.1619       |             | 1.0785   | 0.246  
171    | 2.6937     | 0.3945     | 1.9477     | 0.3191     | 0.0324     | 0.0717       | 0.1623       |             | 1.0980   | 0.234  
172    | 2.6246     | 0.3625     | 1.8838     | 0.3364     | 0.0418     | 0.0843       | 0.1698       |             | 1.0898   | 0.254  
173    | 2.7383     | 0.3962     | 1.9750     | 0.3290     | 0.0381     | 0.0998       | 0.1438       |             | 1.0635   | 0.244  
174    | 2.6811     | 0.3509     | 1.9614     | 0.3316     | 0.0372     | 0.1017       | 0.1547       |             | 1.0692   | 0.256  
175    | 2.7194     | 0.3421     | 2.0078     | 0.3354     | 0.0341     | 0.0942       | 0.1515       |             | 1.0407   | 0.246  
176    | 2.6314     | 0.3678     | 1.8912     | 0.3267     | 0.0457     | 0.1060       | 0.1607       |             | 1.0794   | 0.267  
