Position_ID,Label,Pos_X,Pos_Y,RSSI_Single,RSSI_Full,Diff_RSSI,Dist_mm_Single,Dist_mm_Full,Diff_RTT
Pos1,11-8,-4.20,6.00,-65.83,-66.78,-0.95,4003.41,3459.62,-543.79
Pos1,11-9,-4.80,6.00,-61.89,-69.26,-7.36,4090.31,3195.35,-894.95
Pos1,2-1,0.00,0.60,-67.34,-57.75,9.59,5131.26,3797.57,-1333.69
Pos1,2-11,-6.00,0.60,-48.60,-42.42,6.18,-1301.31,-1358.71,-57.40
Pos1,3-1,0.00,1.20,-63.90,-59.07,4.83,5845.86,4132.45,-1713.41
Pos1,3-11,-6.00,1.20,-43.56,-55.87,-12.31,-1649.04,-1181.49,467.55
Pos1,4-1,0.00,1.80,-63.06,-67.07,-4.01,4529.84,4667.98,138.14
Pos1,4-11,-6.00,1.80,-42.61,-54.02,-11.41,-1292.97,-1886.63,-593.66
Pos1,5-1,0.00,2.40,-60.30,-62.90,-2.60,4070.29,2991.11,-1079.18
Pos1,5-11,-6.00,2.40,-50.02,-55.03,-5.00,-327.27,-107.06,220.22
Pos1,6-1,0.00,3.00,-61.34,-65.02,-3.68,3730.12,5066.09,1335.96
Pos1,6-10,-5.40,3.00,-58.39,-61.03,-2.65,23.74,-243.24,-266.98
Pos1,6-11,-6.00,3.00,-53.31,-59.82,-6.51,1274.17,362.05,-912.12
Pos1,6-2,-0.60,3.00,-67.75,-63.10,4.65,6440.38,2515.69,-3924.69
Pos1,6-3,-1.20,3.00,-61.72,-62.36,-0.65,4202.38,2520.07,-1682.31
Pos1,6-4,-1.80,3.00,-58.77,-58.06,0.71,2162.74,2924.36,761.62
Pos1,6-5,-2.40,3.00,-61.05,-70.04,-8.99,1525.92,3756.80,2230.89
Pos1,6-6,-3.00,3.00,-57.10,-60.82,-3.72,1345.62,1264.28,-81.34
Pos1,6-7,-3.60,3.00,-48.94,-55.52,-6.58,708.48,1658.92,950.45
Pos1,6-8,-4.20,3.00,-47.98,-57.61,-9.63,134.72,387.47,252.74
Pos1,6-9,-4.80,3.00,-49.38,-58.60,-9.22,132.45,647.87,515.43
Pos1,7-1,0.00,3.60,-61.30,-61.30,0.00,3815.07,4087.15,272.07
Pos1,7-11,-6.00,3.60,-55.86,-68.76,-12.90,1210.66,-5.41,-1216.07
Pos1,8-1,0.00,4.20,-60.51,-66.81,-6.30,3980.28,5222.07,1241.80
Pos1,8-11,-6.00,4.20,-58.58,-60.56,-1.98,1228.27,2348.76,1120.49
Pos1,9-1,0.00,4.80,-64.21,-65.92,-1.71,6853.17,5538.62,-1314.54
Pos1,9-11,-6.00,4.80,-60.64,-62.73,-2.09,1871.79,5070.29,3198.50
Pos2,1-1,0.00,0.00,-57.10,-63.66,-6.56,6282.90,6628.87,345.97
Pos2,1-10,-5.40,0.00,-62.48,-64.02,-1.53,7694.81,8319.66,624.85
Pos2,1-11,-6.00,0.00,-63.50,-63.63,-0.13,7272.30,8229.94,957.64
Pos2,1-2,-0.60,0.00,-62.27,-61.35,0.91,5521.89,7202.19,1680.30
Pos2,1-3,-1.20,0.00,-73.70,-63.94,9.76,8723.81,6884.09,-1839.72
Pos2,1-4,-1.80,0.00,-64.56,-63.07,1.49,5752.89,6525.32,772.43
Pos2,1-5,-2.40,0.00,-68.61,-65.58,3.02,5933.54,13085.75,7152.21
Pos2,1-6,-3.00,0.00,-63.17,-69.39,-6.23,6231.96,6650.76,418.81
Pos2,1-7,-3.60,0.00,-60.38,-64.59,-4.21,6586.00,6360.50,-225.50
Pos2,1-8,-4.20,0.00,-61.03,-71.37,-10.34,6623.75,6941.30,317.55
Pos2,1-9,-4.80,0.00,-71.42,-61.94,9.48,7562.13,6663.87,-898.25
Pos2,10-1,0.00,5.40,-53.59,-54.10,-0.51,178.45,414.83,236.38
Pos2,10-11,-6.00,5.40,-57.81,-63.44,-5.63,3224.32,4072.01,847.69
Pos2,11-1,0.00,6.00,-52.82,-48.60,4.21,211.50,412.26,200.76
Pos2,11-10,-5.40,6.00,-56.01,-68.87,-12.86,3305.69,5167.31,1861.62
Pos2,11-11,-6.00,6.00,-64.83,-63.40,1.42,5003.69,7449.57,2445.87
