Combo,Avg_Src_Acc,Avg_Src_MDE,Avg_Tgt_Acc,Avg_Tgt_MDE,Seeds_Detail
Fusion_RTT_1_2,98.8776,0.0166,31.7687,1.0988,"[42, 6767, 123456]"
Fusion_RTT_1_3,98.2313,0.0281,35.1361,1.0149,"[42, 6767, 123456]"
Fusion_RTT_1_4,98.4354,0.0227,36.1224,1.0234,"[42, 6767, 123456]"
Fusion_RTT_2_3,97.8912,0.0311,27.1088,1.0441,"[42, 6767, 123456]"
Fusion_RTT_2_4,98.0952,0.0239,25.0340,1.0954,"[42, 6767, 123456]"
Fusion_RTT_3_4,97.3469,0.0511,28.7415,1.1249,"[42, 6767, 123456]"
Fusion_RTT_1_2_3,98.8776,0.0157,33.8095,0.8685,"[42, 6767, 123456]"
Fusion_RTT_1_2_4,98.9796,0.0101,35.5782,0.8226,"[42, 6767, 123456]"
Fusion_RTT_1_3_4,98.8095,0.0168,36.2245,0.9365,"[42, 6767, 123456]"
Fusion_RTT_2_3_4,98.7075,0.0176,24.2517,1.0091,"[42, 6767, 123456]"
Fusion_RTT_1_2_3_4,99.1156,0.0114,31.8707,0.8358,"[42, 6767, 123456]"
Only_RTT_1,26.1224,2.2039,12.1769,2.3835,"[42, 6767, 123456]"
Only_RTT_2,32.9252,1.9920,11.3946,2.5133,"[42, 6767, 123456]"
Only_RTT_3,32.2109,1.8211,13.1973,2.5816,"[42, 6767, 123456]"
Only_RTT_4,21.1565,2.4714,9.7959,2.6662,"[42, 6767, 123456]"
Only_RTT_1_2,76.5306,0.6019,22.5170,1.7518,"[42, 6767, 123456]"
Only_RTT_1_3,77.3469,0.3341,35.0680,1.0812,"[42, 6767, 123456]"
Only_RTT_1_4,83.9116,0.3057,32.8571,1.0042,"[42, 6767, 123456]"
Only_RTT_2_3,79.3197,0.2917,31.9388,1.0164,"[42, 6767, 123456]"
Only_RTT_2_4,76.5986,0.4082,22.5170,1.1304,"[42, 6767, 123456]"
Only_RTT_3_4,70.9524,0.9328,19.2517,2.6463,"[42, 6767, 123456]"
Only_RTT_1_2_3,92.5510,0.0924,33.8435,0.8347,"[42, 6767, 123456]"
Only_RTT_1_2_4,95.9864,0.0495,32.2789,0.8120,"[42, 6767, 123456]"
Only_RTT_1_3_4,92.6871,0.1152,31.5306,1.0629,"[42, 6767, 123456]"
Only_RTT_2_3_4,94.2517,0.0943,27.8912,0.9234,"[42, 6767, 123456]"
Only_RTT_1_2_3_4,96.6667,0.0334,27.7211,0.8165,"[42, 6767, 123456]"
