AP_ID,Label,Pos_X,Pos_Y,RSSI_Base,RSSI_Comp,Shift_RSSI,Dist_mm_Base,Dist_mm_Comp,Shift_RTT
AP3,10-11,-6.00,5.40,-71.22,-59.07,12.14,6349.74,6448.99,99.25
AP3,11-1,0.00,6.00,-66.26,-63.49,2.78,3531.37,3117.62,-413.75
AP3,11-10,-5.40,6.00,-65.34,-64.62,0.72,8528.06,6979.94,-1548.12
AP3,11-11,-6.00,6.00,-61.51,-62.70,-1.20,6395.86,6552.47,156.61
AP3,11-2,-0.60,6.00,-65.24,-61.13,4.10,4176.87,6867.57,2690.70
AP3,11-3,-1.20,6.00,-67.76,-63.17,4.59,3884.89,4968.65,1083.76
AP3,11-4,-1.80,6.00,-68.09,-63.99,4.10,3774.34,4394.03,619.69
AP3,11-5,-2.40,6.00,-66.39,-65.06,1.32,6378.33,5719.05,-659.29
AP3,11-6,-3.00,6.00,-68.45,-62.07,6.38,5958.77,4620.82,-1337.95
AP3,11-7,-3.60,6.00,-61.96,-63.95,-2.00,4706.43,4005.40,-701.03
AP3,11-8,-4.20,6.00,-64.74,-62.19,2.54,5574.90,5641.02,66.12
AP3,11-9,-4.80,6.00,-69.12,-61.60,7.52,5334.62,5358.19,23.57
AP3,2-1,0.00,0.60,-52.34,-46.81,5.53,-1951.35,-1506.67,444.67
AP3,2-11,-6.00,0.60,-59.61,-54.66,4.95,4181.22,4386.62,205.40
AP3,3-1,0.00,1.20,-40.31,-42.97,-2.66,-1432.24,-1389.18,43.06
AP3,3-11,-6.00,1.20,-69.16,-56.36,12.80,6726.03,6737.99,11.96
AP3,4-1,0.00,1.80,-51.35,-52.28,-0.93,1249.80,234.83,-1014.97
AP3,4-11,-6.00,1.80,-63.79,-56.52,7.27,3944.70,4272.67,327.97
AP3,5-1,0.00,2.40,-51.94,-57.77,-5.83,-400.02,-96.67,303.34
AP3,5-11,-6.00,2.40,-61.06,-62.63,-1.57,5367.62,5517.57,149.96
AP3,6-1,0.00,3.00,-60.35,-63.48,-3.14,99.81,174.51,74.70
AP3,6-10,-5.40,3.00,-60.88,-66.34,-5.47,3782.02,3178.19,-603.83
AP3,6-11,-6.00,3.00,-63.70,-62.83,0.87,5716.71,5589.07,-127.65
AP3,6-2,-0.60,3.00,-59.10,-55.42,3.68,176.21,196.05,19.84
AP3,6-3,-1.20,3.00,-55.03,-61.75,-6.72,62.73,-446.65,-509.38
