Timestamp,Label,SSID_1,BSSID_1,RSSI_1,Dist_mm_1,Std_mm_1,SSID_2,BSSID_2,RSSI_2,Dist_mm_2,Std_mm_2,SSID_3,BSSID_3,RSSI_3,Dist_mm_3,Std_mm_3,SSID_4,BSSID_4,RSSI_4,Dist_mm_4,Std_mm_4
1767084157262,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,3369,1669,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,8759,1025,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,-1671,1396,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68,10093,957
1767084157490,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,3017,2490,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,8877,255,MCSLab RTT AP3,b0:e4:d5:88:16:86,-55,-1121,1997,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-71,10127,1005
1767084157697,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-59,3173,1473,MCSLab RTT AP2,24:29:34:e1:ef:d4,-61,8955,314,MCSLab RTT AP3,b0:e4:d5:88:16:86,-59,-1299,1555,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-72,10166,349
1767084157925,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-63,3134,1047,MCSLab RTT AP2,24:29:34:e1:ef:d4,-61,6494,1023,MCSLab RTT AP3,b0:e4:d5:88:16:86,-48,-889,938,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-72,10869,330
1767084158136,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,3134,1444,MCSLab RTT AP2,24:29:34:e1:ef:d4,-62,6455,320,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49,-797,1208,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-70,11641,477
1767084158327,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,3056,1142,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,6259,865,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-1894,1654,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68,10879,829
1767084158565,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,2744,1213,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,8330,638,MCSLab RTT AP3,b0:e4:d5:88:16:86,-53,-1319,1196,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68,10645,932
1767084158740,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-60,3330,1180,MCSLab RTT AP2,24:29:34:e1:ef:d4,-61,6963,828,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52,-967,1039,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68,10615,992
1767084158911,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-59,3252,1104,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,8838,652,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,-1319,1105,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-69,10908,848
1767084159186,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-63,3291,2187,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,9228,199,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-1592,1140,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68,10644,1006
